Time	[P]	[S]	[X]	[P]_0	[S]_0	[X]_0
0.0	0.0	10.0	0.0	0.0	10.0	0.0
2.0	0.8551345395486734	3.6454072702304168	2.872086807390824			
4.0	1.2006728226777714	2.4348047274128217	2.9145758932752313			
6.0	1.6755196584218117	1.5718546516237648	2.9355949823100276			
8.0	1.7680293748975402	2.0038472967624585	3.241868101994452			
10.0	1.7436824630956957	1.7558769536254408	2.9128406957681974			
12.0	1.6378166658040727	1.7087117604782924	3.420111934167154			
14.0	1.856330519766449	1.4423653861918115	3.2735266543204045			
16.0	1.712848577843384	1.657327283577313	3.331046898985601			
18.0	1.9969372927311504	1.9780945556563858	3.040868535322922			
20.0	1.7292326483942129	1.8577519445940656	3.4038218344855706			
