,(r1).k_f,(r1).k_r,obj
0,0.1261519471324287,0.32024399803538744,92.11783532042487
1,0.12615199711475136,0.32024396370498753,92.11783532042577
2,0.12615263348506495,0.32024560753270687,92.11783532044895
3,0.12615185029906795,0.32024344873206123,92.11783532044723
4,0.12615193025236435,0.3202437584168686,92.11783532041069
5,0.1261519825252018,0.3202438055527012,92.1178353203266
6,0.12615193454541415,0.3202437212635068,92.1178353203465
7,0.1261518832766993,0.32024356473388843,92.11783532035236
8,0.12615193669489438,0.32024374914467424,92.11783532038316
9,0.126151769650964,0.32024356478755756,92.11783532043567
10,0.1261518042125178,0.3202431254098933,92.11783532037565
11,0.12615202825833136,0.3202439733393146,92.11783532037501
12,0.12615205258868117,0.32024439754394435,92.11783532037163
13,0.12615213865468608,0.3202442099538905,92.1178353204368
14,0.12615206322343933,0.32024398623314376,92.11783532044024
15,0.12615199069848862,0.3202438472041242,92.11783532031862
16,0.12615207689336283,0.3202443875688224,92.11783532039658
17,0.12615188482092982,0.3202439589373502,92.11783532045574
18,0.12615222283356511,0.3202444164695038,92.11783532038272
19,0.12615206735304774,0.32024399952990396,92.11783532039348
