,(r1).k_f,(r1).k_r,(r4).k_f,(r4).k_r,obj
0,0.3005201691580067,0.29625547253920953,1.813084968644268,1.7613222230175862,0.2952190365661204
1,0.3005190880597015,0.29625566018711147,1.8143004700153293,1.7625196393542855,0.29521901557644403
2,0.3005180128378528,0.29627386435330944,1.8276888336235075,1.7756921901902074,0.2952187422134677
3,0.3005149842923791,0.2962698791636928,1.8351132165400101,1.7829622200627906,0.29521907212751497
4,0.3005203447719651,0.2962569513122612,1.814310979414726,1.762527422939197,0.29521901550280266
5,0.3005120993956078,0.2962647249067666,1.8350987077012835,1.78293696495441,0.2952190728934666
6,0.3005149418569571,0.29627010400162884,1.8351142458897562,1.782961713431486,0.29521907214557913
7,0.30052068962964357,0.2962775991307522,1.8351451647201555,1.7830035351109697,0.2952190730123904
8,0.30051697832002994,0.2962518068898004,1.814286114050369,1.7625047676804138,0.29521901609303164
9,0.3005185412424637,0.29627584010146474,1.8351334505366366,1.7829906779541471,0.2952190724643566
10,0.30051501761409205,0.2962330086286334,1.8196289496082234,1.7676333047125143,0.2952188943432067
11,0.300520586835563,0.2962559467604275,1.813088366423494,1.7613252302937128,0.2952190365681884
12,0.30051999976609123,0.29627553267201384,1.8351470879654161,1.782991585609383,0.2952190727414217
13,0.30050069253897976,0.29623331014080556,1.8141836987338995,1.7624061669103646,0.29521903016806805
14,0.30051740203835975,0.296263862860447,1.8276715052122763,1.7756416375628217,0.29521873454188263
15,0.3005202523306382,0.2962554813240952,1.8130856567240619,1.7613229108714523,0.29521903656325144
16,0.3005120584848422,0.29624712901214956,1.8138039336511291,1.762063391211298,0.29521905848292246
17,0.30051364238713274,0.2962438296464714,1.8142904397703563,1.7624777444827109,0.2952190192627726
18,0.3005169701449864,0.2962666430552874,1.8293285207369678,1.7772887587608281,0.29521897123748475
19,0.3005235324998742,0.2962844673271234,1.827752525372487,1.7757279794927652,0.2952187472221603
