,(r1).k_f,(r1).k_r,(r1).ki_X,(r4).k_f,(r4).k_r,obj
0,0.5345709994690191,0.5178911380168694,2.484763310011819,2.3913551836923443,2.344563384088232,0.2728648153308828
1,0.5282486326128925,0.5121247519252721,2.5518627953218793,2.462381846549887,2.417849247039862,0.27296750441620576
2,0.5446217354162047,0.528187195276583,2.4079109506256042,3.161699402415427,3.1060671836315694,0.2734119576411848
3,0.48017927703412155,0.46399074643887483,3.1193235379776167,1.292294580271429,1.2585957862570851,0.2726100004321603
4,0.5303476759338569,0.5134305980742353,2.521360370107876,2.0863076271645804,2.045005396278766,0.2726037681070378
5,0.5244406530681087,0.5068057726655708,2.555703780434834,1.567512725284191,1.5312137607005376,0.27220230273197493
6,0.5118978273675451,0.49521526225831947,2.730402015499403,1.9354724355928523,1.8928778393484207,0.27257896397333087
7,0.5064375416294851,0.4912072603663378,2.8061675206594656,2.425613563292326,2.3778227793127993,0.27312445273809915
8,0.6864278646489033,0.6634395418956773,1.4982936148054247,1.7298260511215608,1.7004269866394286,0.2733446946519541
9,0.5255451113387937,0.5090435774381771,2.5847915070045855,2.3079485267412454,2.2611642452256357,0.2728359983380281
10,0.5208530924036777,0.5043700986863241,2.642011909340303,2.3312386130950857,2.284429978923564,0.27289266615669167
11,0.5535736224459622,0.5341118935821653,2.252077353256,1.4293369169099701,1.396424727451003,0.2721566730383926
12,0.5068174853901408,0.4890252500143913,2.7341993211308098,1.3258012815995883,1.2919976359081131,0.2722794121440414
13,0.524046707114796,0.5083255882833545,2.6006227364633308,2.139611806471645,2.0990170771143317,0.2726971666821051
14,0.5125246312967858,0.495496940528505,2.68962527025137,1.5401074618637953,1.5050116991628948,0.2722480248378117
15,0.5613891311050024,0.5420581883986271,2.2007528025787724,1.6095165023228533,1.5742128578654182,0.2722127717105651
16,0.453830486501652,0.4388509582968769,3.6407223334576764,1.225716270201483,1.192216643055908,0.27327785592724374
17,0.614290136136284,0.5967925201596461,1.9004578975047277,2.073200360913174,2.035729527531389,0.27319562255314456
18,0.5221051405785666,0.5037566726456493,2.546200550980011,1.2647977368306247,1.232815320063777,0.27224903023237257
19,0.5102442010903244,0.4920893740668421,2.6861143127369678,1.275831380044658,1.2426924726290436,0.27229417484695523
