,(r1).k_f,(r1).k_r,(r4).k_f,(r4).k_r,obj
0,0.3005200182157836,0.2962565506213341,1.8143080746514209,1.7625252869353154,0.2952190155073955
1,0.3005185982130784,0.296274969355065,1.8351341472742817,1.7829883939508928,0.2952190723653602
2,0.3005456038070832,0.29630594746404,1.8141801816573397,1.7623742899978732,0.2952190127001932
3,0.3005430490835639,0.2963033997827755,1.8279789057718683,1.775946484968891,0.2952190530638334
4,0.30052027221830285,0.2962569612981455,1.8143094210841537,1.7625270386015188,0.29521901550140756
5,0.3005202992478018,0.2962569609497624,1.8143103789581485,1.7625271699437575,0.2952190155020106
6,0.3005202169740306,0.29625545650571905,1.8130850936755407,1.7613226840900968,0.2952190365632516
7,0.30052035275273675,0.2962570873527002,1.8143101166947062,1.7625277156707337,0.2952190155001179
8,0.3005178885296158,0.2962394586031849,1.827571384204828,1.7754227017201414,0.295219047941996
9,0.3005176736666902,0.2962685067448849,1.8276885543888146,1.7756560263637882,0.29521874315669716
10,0.30051999009461017,0.29627666239643,1.8351456505446861,1.7829952873177604,0.2952190726917574
11,0.3005313867720725,0.2962815881514303,1.8294624143234635,1.7773448180039049,0.29521898673058966
12,0.3005205453814045,0.29625736058709934,1.8143112536202053,1.7625287542861512,0.2952190155023433
13,0.3005163604108866,0.29625587040385165,1.827780926668409,1.7756794226525858,0.29521903103471736
14,0.300520075578883,0.2962566624409281,1.8143090983985313,1.7625258247254703,0.29521901550424673
15,0.3005205046177487,0.2962572012049633,1.8143111359998576,1.7625283832385572,0.2952190155021799
16,0.30053538795925894,0.29627246945465147,1.8139753481221417,1.7622040481961334,0.29521906478410015
17,0.30046048968368533,0.29617385725264955,1.8151244699893558,1.763334679646972,0.29521902902367
18,0.3005180244309831,0.2962743664060789,1.8351299399365646,1.7829854175799578,0.29521907229163163
19,0.30051993847358044,0.29625633511276755,1.8136314865487597,1.7618654660738122,0.29521906442489637
