Time	[Uri]	[UMP]	[UDP_GalNAc]	[UDP]	[UTP]	[AMP]	[ADP]	[ATP]	[ATPP]	[ATPPP]	[GalNAc]_0	[ATP]_0	[ADP]_0	[Uri]_0	[E_PPA]_0	[E_PPK3]_0	[E_UDK]_0	[E_NAHK]_0	[E_GLMU]_0	[E_UMPK]_0	[PolyP]_0
0	10.5272210786667	0	0	0	0	0	0.007756666666667	0.509636666666667	0	0	10.5272210786667	0.509636666666667	0.007756666666667	10.5272210786667	0.001553358	0.002878526	0.00410627	0.002506077	0.002032934	0.004463289	32
0.5	0.693924834	3.5928725	0.619095	0.9107025	4.64873	0.0132025	0.4283425	0.0093325	0.059615	0.0039625											
1	0	1.7971343	2.22240116666667	0.925026566666667	5.650311	0.013047133333333	0.372857233333333	0.014168266666667	0.108703033333333	0.015492633333333											
2	0	0.847970666666667	5.277006	0.660765	3.74848133333333	0.011953666666667	0.185987666666667	0.102893	0.154448	0.030895666666667											
4	0.000349215690827	0.137870233333333	8.6928765	0.345482233333333	1.37239026666667	0.014536733333333	0.061461133333333	0.1814415	0.1896467	0.0523629											
7	0	0.0643682	9.8463014	0.1373944	0.5379218	0.0138294	0.0524992	0.1844492	0.1866644	0.0613834											
12	0	0.032292	9.9524464	0.1062334	0.4402424	0.0118612	0.0474864	0.182494	0.1885598	0.0656214											
16	0.000951953701167	0.035902133333333	9.97267753333333	0.104748	0.434887666666667	0.0120658	0.049728066666667	0.1829736	0.185608066666667	0.066756066666667											
20	0	0.055857633333333	9.90315021666667	0.115575166666667	0.448113416666667	0.013035733333333	0.049757216666667	0.19375125	0.172828333333333	0.064509133333333											
24	0	0.055450266666667	9.92926293333333	0.1180718	0.455334366666667	0.012091566666667	0.048153233333333	0.195028166666667	0.173635	0.0647801											
