Time	[Uri]	[UMP]	[UDP_GalNAc]	[UDP]	[UTP]	[AMP]	[ADP]	[ATP]	[ATPP]	[ATPPP]	[GalNAc]_0	[ATP]_0	[ADP]_0	[Uri]_0	[E_PPA]_0	[E_PPK3]_0	[E_UDK]_0	[E_NAHK]_0	[E_GLMU]_0	[E_UMPK]_0	[PolyP]_0
0	20.047463994	0	0	0	0	0	0.00727	0.475413333333333	0	0	20.047463994	0.475413333333333	0.00727	20.047463994	0.001553358	0.002302821	0.004927524	0.002004862	0.00243952	0.004463289	32
0.5	6.96343480613	5.3558514	0.5714137	3.0405296	4.1601287	0.0065813	0.2704037	0.1533539	0.0262508	0.0021359											
1	1.67603849720267	4.61019973333333	1.34618	3.9337232	8.5824112	0.017007466666667	0.245813333333333	0.1525304	0.037165333333333	0.004675733333333											
2	0	2.6432028	4.8345668	2.8022372	9.557604	0.0156828	0.2721348	0.1101856	0.0512428	0.0145628											
4	0	1.0671971	13.5771475	1.0609911	4.2522149	0.0158369	0.2160085	0.1154664	0.0801357	0.0325525											
7	0	0.124392	17.888154	0.335847	1.634298	0.014505	0.057772	0.201714	0.145539	0.04047											
12	0	0.061933833333333	19.0261081666667	0.167642666666667	0.839870833333333	0.013645333333333	0.044616333333333	0.185861	0.170765	0.045112333333333											
16	0	0.0975744	19.01802	0.2129988	0.7815892	0.014042	0.0600956	0.1954512	0.1454768	0.0449344											
20	0	0.1011306	18.9410214666667	0.2271646	0.813445466666667	0.013442533333333	0.065150866666667	0.1971198	0.139544866666667	0.044741933333333											
24	0	0.069743	18.9446884666667	0.198329433333333	0.905656666666667	0.0137061	0.0558689	0.196719233333333	0.148814166666667	0.0448916											
