Time	[Uri]	[UMP]	[UDP_GalNAc]	[UDP]	[UTP]	[AMP]	[ADP]	[ATP]	[ATPP]	[ATPPP]	[GalNAc]_0	[ATP]_0	[ADP]_0	[Uri]_0	[E_PPA]_0	[E_PPK3]_0	[E_UDK]_0	[E_NAHK]_0	[E_GLMU]_0	[E_UMPK]_0	[PolyP]_0
0	52.80557775	0	0	0	0	0	0	0.5150925	0	0	52.80557775	0.5150925	0	52.80557775	0.001864029	0.002878526	0.00410627	0.003007293	0.001626347	0.003570632	32
0.5	34.79479548156	9.2033874	0.7468302	4.091904	3.9668292	0.065823	0.3657228	0.0710622	0.0176046	0.0009546											
1	23.8882132503	11.595402	2.25015	6.653178	8.349201	0.064575	0.356202	0.046641	0.017304	0.005985											
2	12.880198299945	14.4433209	6.35897145	8.49395205	10.3860522	0.04547715	0.3896691	0.02685885	0.0114669	0.01074765											
4	5.495100590373	15.279981	16.3363971	8.230533	7.34211	0.034506	0.3170124	0.1104831	0.0024708	0.0155277											
7	2.16600628608	10.9863	25.4483208	6.8713488	7.4301624	0.0382536	0.3891936	0.0265896	0.0111024	0.0148608											
12	0.999104565732	9.9096546	34.0641315	4.5995433	3.3668271	0.0540807	0.3887508	0.0113529	0.0031737	0.0226419											
16	1.362044309175	9.83088	37.1696625	3.107205	1.24461	0.0649125	0.2716725	0.11628	0	0.027135											
20	1.166651065728	9.6348672	38.3159232	2.5519104	1.164768	0.0686016	0.272064	0.1000128	0.001824	0.0374976											
24	0.9152811353721	8.4862437	39.425913	2.7496821	1.1572524	0.0700188	0.3400371	0.0381717	0	0.0317724											
