,(GLMU).kcat_F,(GLMU).Km_GalNAc1P,(GLMU).Km_UTP,(GLMU).K_eq_GLMU,(GLMU).Km_UDP_GalNAc,(GLMU).Km_PP,(GLMU).ki_P,(NAHK_ATP).kcat_F,(NAHK_ATP).Km_GalNAc,(NAHK_ATP).Km_ATP,(NAHK_ATP).K_eq_NAHK,(NAHK_ATP).Km_GalNAc1P,(NAHK_ATP).Km_ADP,(NAHK_ATP).ki_P,(PPA).kcat_F,(PPA).Km_PP,(PPA).ki_P,(PPK3_A).kcat_F,(PPK3_A).Km_ADP,(PPK3_A).Km_PolyP,(PPK3_A).K_eq_PPK3_A,(PPK3_A).Km_ATP,(PPK3_A).ki_P,(PPK3_U).kcat_F,(PPK3_U).Km_UDP,(PPK3_U).Km_PolyP,(PPK3_U).K_eq_PPK3_U,(PPK3_U).Km_UTP,(PPK3_U).ki_P,(UDK_ATP).kcat_F,(UDK_ATP).Km_Uri,(UDK_ATP).Km_ATP,(UDK_ATP).K_eq_UDK,(UDK_ATP).Km_UMP,(UDK_ATP).Km_ADP,(UDK_ATP).ki_P,(UMPK_ATP).kcat_F,(UMPK_ATP).Km_UMP,(UMPK_ATP).Km_ATP,(UMPK_ATP).K_eq_UMPK,(UMPK_ATP).Km_UDP,(UMPK_ATP).Km_ADP,(UMPK_ATP).ki_P,obj
0,171975.12369738793,0.35888337906110523,65.21019684691643,125.04561056034841,39.567311302744095,85.42534116122023,3.5962298035912443,4018.053290957675,0.05608227924680219,0.2570284641917363,48.958434160426044,51.4233080765661,29.41706283262351,2014.0778903431121,37480.60545379798,99.72641045439372,1069.777484793564,265519.1584933231,26.408911403212663,0.22148181976294146,0.005719196990813858,65.34058483818309,2873.656827775131,3550966.294550706,7.411822599767612,58.88509586970103,0.011492512419909435,7.481076436934956,9993.989127298959,518178.3824364884,4.549533213715511,14.270448405662382,6413.266216089281,15.472559287013203,99.98304966208337,1.3080746581817557,3542280.6388102453,33.37491888315893,5.994062714923309,2.500110413284146,1.0490290553736492,28.938218996728814,2.667253635584452,3.9339434258227657
1,973201.8626905713,0.15663085890193842,0.8878622363539814,105.1859722748855,99.3923535395297,0.010757336835439286,7727.994749435444,3242.195540001786,0.08245578573897822,0.24878691248869078,66.41618070310838,0.01009011935126053,0.22631151890835144,775.823279481821,18780.181084723317,46.750037591775865,271.89860821662603,628171.1733702885,8.285472330116145,73.2360496323372,662.9984500879926,0.01,9.758192885412898,3583102.7456287937,3.7039718137998534,0.33375259769067295,0.013713763708261864,17.48559594829518,0.2908466946388984,334664.33163811156,0.8326405755992086,5.381099898703728,6000.283764394165,0.15804943014736614,6.9819763336121,2.067205191420612,2421466.0504697887,1.7025690027970268,1.2761875862406742,2.511960485314092,0.20805404778040432,0.08082697417227416,3.598007925099869,3.9598976176901393
2,1859994.0841633056,18.977128274166922,75.56796877486569,303.8931667735003,0.6917005453712145,27.117379294390904,84.38228431440739,4059.2690814613075,0.09733592321619021,0.08600009447611226,45.08779540063508,14.778797123971753,19.14293273838237,276.153348899688,15723.570875100824,40.627477599980914,6058.458631292439,14098.183188334178,0.07149668631961724,94.53947926063292,0.005154307874272805,0.15871319525357558,9999.948128927486,3553658.1369522875,2.645540654696144,10.147436776667428,0.011344195792837818,6.186432436891555,6941.641178884566,1579376.369445728,17.9572335266675,5.054426467212242,17448.096896668583,0.7603239848609007,1.337640447416313,5.076545783110425,296404.3766541333,56.09955465684393,0.2752585104014857,2.500452708120703,13.69247403690247,81.74013464697363,1.9805383688110427,3.9584540551615235
3,541857.2508698393,1.0714251101508785,0.49300457138905013,107.15764534387009,31.373559518195595,0.01,9711.13136563262,4060.7996086909466,0.06205606488653253,0.24893593283931217,32.71220971618421,0.01,3.756699577253457,54.550382870532495,690.4424622756807,23.952496252161126,23.57163194658831,681924.7702449294,36.72249692501267,17.72683846879216,0.005314934025585466,0.14001391763048282,5608.390714669185,1544292.2005006014,3.0007114954032503,0.3563537963456358,0.013236270242067917,3.951116312920114,0.01,548767.514027284,1.953008076518478,16.608139291946593,17852.83211341243,2.0771541413456878,25.237700963571335,0.20081797495027723,759818.9968089891,0.01336530734511957,26.83638871700092,2.500924997108647,36.06883608185418,24.4094590329532,0.3084803496908662,3.949505707844236
4,61160.27222318775,0.4156161683633433,15.657708814800298,115.55087538565107,2.0610133289515202,2.808218253387933,13.688315427900468,4060.7764850860312,0.040423478939574035,0.21553368565545086,70.17527385529395,57.62115105193303,0.025000396867721264,735.0224667097361,722.1755242360149,25.538728369989958,6661.424594216679,138478.4452736323,7.12152920160238,0.568285124538153,0.005806622940729561,65.7094936104901,9761.36708884523,815224.3328365374,13.276014008494943,15.042933930476181,0.013684355071343697,2.1111825156595874,0.0257655445255198,1364598.6852530732,21.02401512105753,2.2299646355649814,17107.192389933625,0.14037643576380357,61.78585168964894,1.0883662797577305,894810.4844839004,8.394032672329496,5.899073350519001,2.5004598521012182,0.7884513739115908,14.789621558399494,0.590191618628654,3.9694660402106687
5,38236.455257586844,0.5122898340300915,53.29511738749307,246.81464212058668,1.8992320553819666,76.29881280963266,31.432413667360766,4060.752680932632,0.08123892686680693,0.09581311650466671,68.55601448441573,4.844539256852548,0.6043198599697801,512.4807321820962,22157.47111879065,100.0,1429.667103615962,624413.8048799969,18.420000692198986,0.42827047280812564,0.005712718242966949,95.63136352001291,1264.4580982018008,3546684.3992061503,19.061124550017183,0.4315313425598834,0.01176315398548005,1.1202968689573598,28.098516196036158,329655.1210992609,94.8452615769528,2.4944945810716828,6548.891552967526,12.877251941636946,25.84118705748125,4.705400567169288,3160506.7515180474,10.774937155165885,7.3764706343372755,2.5076411976054933,0.35162679721705997,9.142338291162908,3.117700646674392,3.9697298705662583
6,148785.28237770422,0.01,0.015463913035535414,105.87415293481857,100.0,83.77563501524195,9611.080033835788,3646.322840581777,0.0974554574078,0.2577263811771933,30.138784174064916,0.010394279238645054,99.01682821344869,1063.567536964681,1363118.8562378136,99.98236139953207,0.010000024303152909,455283.2306009982,2.6865701750141686,0.01,0.0053656759874785125,99.99112764166125,176.01041728159564,2835235.909294807,1.630527884356595,12.599572344691925,0.011239519555523304,0.21119456639774406,1355.862742320372,48127.913862384536,7.233891993862494,0.1748589945782675,17911.330127295318,2.3168112590522227,5.052426034850653,0.4516389561635098,2771363.5378701705,7.562046356950294,0.30242001063460167,2.524902249586996,0.010001392541322535,17.48123148545801,1.1137127371553095,3.9530505710185007
7,166483.9520569206,12.305065821848165,5.758659600173176,246.89503059590274,4.658175919551252,21.554490352620345,16.305989568756633,4056.878954989804,0.09699635267158754,0.21285294826211631,40.122595337222485,0.01,12.697374106983906,324.133719844455,15248.784043450329,29.13023318044511,1690.392727224139,293726.82479290187,0.08536506780637299,0.10116892312887084,0.005208796489857397,4.660751746629597,3623.5745669715106,214525.9795392873,1.5242722392181092,35.513435629706954,633.9959454405289,0.01000028466405372,1.7489288191915768,191336.2517870994,0.22458135065609774,6.162141234895013,11384.650777717326,0.27345782042090644,67.75273737249618,1.6683382412401138,933873.9603796427,8.983513398485695,2.1002570398759985,2.506447992043016,1.705956793190553,0.44829540443694077,3.3694132696990398,3.9598168943564036
8,44819.25681616186,1.629639409776925,0.020511738237165098,109.22389487700491,3.010002726378147,85.42829314763625,82.35888410172129,3369.9754340323416,0.09742065130547142,0.10215717231373736,62.720621143555746,0.18458428012973163,0.010074075288693498,9805.244768847433,31784.875742812244,99.87171377402382,9.275443564408025,546346.2937792882,0.2462271879760063,3.0247667130990603,0.005061343456892497,63.85525001531485,3125.125568117488,1792399.0647740604,2.2294490433838927,38.989805546118234,0.021084367913898824,0.01597828473804599,0.2249478302464694,37490.50205985917,1.0533597631080607,0.3608107367045655,6562.6769433814925,4.502520622911666,0.3989847226436444,0.8752056146369912,3558216.4303359413,0.7926000946135631,3.383004313173042,2.5000416482030112,0.010061456120182537,1.641022758938871,5.235102187407521,3.888740653324082
9,442740.71291944495,3.7638961248896288,32.59591344150019,169.20099477858508,0.5628364209834446,35.709002680804424,20.52714076671908,4060.7999999999997,0.09358960441231681,0.08673597607610431,30.58159751602862,6.458520588501605,0.010001637463875173,10000.0,5939.628274379446,21.367026878492705,9910.266848975807,3559332.1469184966,49.520240523635046,39.49158882224563,0.005729932165446041,0.011209787241696127,9991.567787271184,3468372.83251972,1.9602704515790592,5.449579068280442,0.011780042203773756,25.858603234432454,7177.738567734563,287731.3267238623,42.35248129935802,1.3373171501125962,9612.610454401707,4.953588270822866,1.0680686460232152,4.931135910938024,3599996.5015029428,20.18248666479221,13.548230183196326,2.5000756252423653,0.8891602859266459,99.41518328152597,5.00811062347504,3.94293562387017
