,(GLMU).kcat_F,(GLMU).Km_GalNAc1P,(GLMU).Km_UTP,(GLMU).K_eq_GLMU,(GLMU).Km_UDP_GalNAc,(GLMU).Km_PP,(GLMU).ki_P,(GLMU).ki_ADP,(GLMU).ki_UDP_GalNAc,(NAHK_ATP).kcat_F,(NAHK_ATP).Km_GalNAc,(NAHK_ATP).Km_ATP,(NAHK_ATP).K_eq_NAHK,(NAHK_ATP).Km_GalNAc1P,(NAHK_ATP).Km_ADP,(NAHK_ATP).ki_P,(NAHK_ATP).ki_ADP,(NAHK_ATPP).kcat_F,(NAHK_ATPP).Km_GalNAc,(NAHK_ATPP).Km_ATPP,(NAHK_ATPP).K_eq_NAHK,(NAHK_ATPP).Km_GalNAc1P,(NAHK_ATPP).ki_P,(NAHK_ATPP).ki_ADP,(PPA).kcat_F,(PPA).Km_PP,(PPA).ki_P,(PPA).ki_ADP,(PPA).ka_ATP,(PPA).ka_PP,(PPK3_A).kcat_F,(PPK3_A).Km_ADP,(PPK3_A).Km_PolyP,(PPK3_A).K_eq_PPK3_A,(PPK3_A).Km_ATP,(PPK3_A).ki_P,(PPK3_A).ki_ADP,(PPK3_A).ki_PP,(PPK3_U).kcat_F,(PPK3_U).Km_UDP,(PPK3_U).Km_PolyP,(PPK3_U).K_eq_PPK3_U,(PPK3_U).Km_UTP,(PPK3_U).ki_P,(PPK3_U).ki_ADP,(PPK3_U).ki_PP,(UDK_ATP).kcat_F,(UDK_ATP).Km_Uri,(UDK_ATP).Km_ATP,(UDK_ATP).Km_ADP,(UDK_ATP).K_eq_UDK,(UDK_ATP).Km_UMP,(UDK_ATP).ki_P,(UDK_ATP).ki_ADP,(UDK_ATP).ki_UTP,(UDK_ADP).kcat_F,(UDK_ADP).Km_Uri,(UDK_ADP).K_eq_UDK,(UDK_ADP).Km_UMP,(UDK_ADP).Km_AMP,(UDK_ADP).ki_P,(UDK_ADP).ki_ADP,(UDK_ADP).ki_UTP,(UDK_ATPP).kcat_F,(UDK_ATPP).Km_Uri,(UDK_ATPP).Km_ATPP,(UDK_ATPP).K_eq_UDK,(UDK_ATPP).Km_UMP,(UDK_ATPP).ki_P,(UDK_ATPP).ki_ADP,(UDK_ATPP).ki_UTP,(UMPK_ATP).kcat_F,(UMPK_ATP).Km_UMP,(UMPK_ATP).Km_ATP,(UMPK_ATP).Km_ADP,(UMPK_ATP).K_eq_UMPK,(UMPK_ATP).Km_UDP,(UMPK_ATP).ki_P,(UMPK_ATP).ki_ADP,(UMPK_ADP).kcat_F,(UMPK_ADP).Km_UMP,(UMPK_ADP).K_eq_UMPK,(UMPK_ADP).Km_UDP,(UMPK_ADP).Km_AMP,(UMPK_ADP).ki_P,(UMPK_ADP).ki_ADP,(UMPK_ATPP).kcat_F,(UMPK_ATPP).Km_UMP,(UMPK_ATPP).Km_ATPP,(UMPK_ATPP).K_eq_UMPK,(UMPK_ATPP).Km_UDP,(UMPK_ATPP).ki_P,(UMPK_ATPP).ki_ADP,obj
0,432801.57063821645,99.98883684731248,15.39978306493591,145.73399539784114,3.381001995539279,5.550971647178966,3611.807741161301,943.1825947370053,1127.085794607524,4037.583040852759,0.04179658507124196,0.08940280853114672,32.21939860308115,0.012283797006026512,92.15828406000004,3000.385825182982,8683.617563770438,3944.8294960452354,0.06845183304394249,0.012212162640036044,34.795017823591934,0.04247723415686723,112.14683062338818,1728.6347116553509,1741056.1425241712,99.9816223559828,3434.1382946134186,7108.113919059324,999.9983905891911,994.4949903652277,3257673.2982873777,0.011098434529445098,2.892193560108405,0.001,99.64300007492105,327.1479754008965,1272.493394950964,24.857410809608538,456143.6297052964,0.04656197053576262,2.7307531022525424,0.011016070688299967,0.30839636210619514,9445.443699262047,1842.2661239309448,136.2725319979832,970894.4034669495,6.216364464584549,12.206209052039576,40.21591339231585,7648.851460304138,5.09123057448431,705.7823978989751,1501.227458580071,213.76806157197518,1392205.6350806113,38.928543985878136,0.010087236441798573,95.79239894343388,72.90500378101541,1.392137436063849,1343.288380160332,151.94321419432964,565325.4679275759,99.96442994866626,9.089899522618826,35.453413180868125,0.3039735610527423,873.2946817521643,2496.6868308799762,4582.851120390119,841839.3172299574,4.628463582496749,6.580355643796767,18.92959318387299,4.748180504581466,1.3671928595999714,10000.0,9486.186762707342,616679.7556199606,11.927273232574807,0.11541053935598404,2.24136410489714,14.137563350676588,1414.338695171039,96.1138114807595,3036262.2734780028,33.68190736952378,8.292843836733802,0.4377717702208055,11.412948988286926,1873.6625927260898,63.40038915036203,1.1347324778889736
1,10148.582628577864,3.79944721083202,14.269796873792622,184.06722064503944,92.49424310061993,28.88102581912887,6756.435168419328,500.0281730642822,84.11097948001094,4059.231909944724,0.07906589952241726,0.08607743535724921,47.175808638598916,12.917017918999754,35.99987446172656,3595.212809743333,136.19267835383067,3018.441887944247,0.06594701313080453,0.01,61.45320827102922,98.44572293408659,494.9029293928827,2411.418365744036,376172.1857507013,0.22842609435746514,10000.0,9248.629545815447,844.5991389132648,19.966248657398754,3589577.0423534396,0.19313593526877712,99.98183128121984,0.0034975308160371025,4.559885147139193,120.63063289459771,2279.9204392921347,525.4972138799629,1087722.3045695643,17.68087729438664,21.483884001299515,378.8985111165236,0.010110453135511233,3.090430821698561,9846.876682109953,9875.029181603317,3565718.464027241,79.38724607019189,43.82512886798999,27.025310374913087,9501.584073148233,3.315810812647031,65.92105376053316,163.2649193860364,1461.9766663753878,23642.73349984429,42.568915659774326,0.014816939181377563,64.84750341499036,2.1940964118604436,7.974318853756339,1786.2982707369258,6445.126355439916,3220790.755798931,0.010622260134406886,35.98582262311359,66.41542862475353,24.887468455198917,1.8969761706257777,231.15153094011941,3.922941852820016,1040611.6289034854,5.552045974886481,9.588856596003767,57.552540838018814,2.5001109451506505,32.250835500218635,24.41022801129859,7720.342473501348,53927.73778137268,20.837763150292524,875.9390567853038,66.69739743615645,0.37173687039522485,8691.94374390908,1064.8140877064693,3031758.4200397893,0.03791727015282516,0.9168994502557903,1.4035083581928587,0.010002406635343282,2.8467067458186666,402.34654462051026,0.8562208499425602
2,87419.8543158792,16.445368943950864,35.01035974237736,312.42582472585434,36.745503897098985,0.12621168928949733,3200.317907717891,429.9120505290726,8715.434640717882,4052.8964438817975,0.09601887955305667,0.24414222613019415,86.57634481075225,1.9076032920213404,24.695429850962018,9980.329020203835,369.14943674152823,4037.3286565006115,0.03278306611742197,0.1994589004847077,89.99960239717834,33.06450021593956,1153.5091160977627,1022.1899208384814,3509229.624721408,0.7705205688114583,0.9904236039382603,0.015775912059041518,669.4563194305285,854.1346169011007,3571174.502043456,2.463894465562237,3.7129571227013587,0.002702548901087699,96.79755931818018,5844.434628595419,92.84825908325305,287.98753097493636,19921.934678849935,3.4634660871647265,21.143697728173503,440.30463834767977,0.20564843243444048,2.2598864060313675,1986.6756169236303,1715.5326189935286,400541.555155066,21.522229491639216,3.7208320559650994,11.690597384175762,9004.165275525798,2.1587785151414787,40.64037896617369,7527.433471681432,8530.046242171155,34679.810040938275,71.2087782448375,0.022514047238607844,5.747863995420198,2.1207897838514054,0.35768181066911225,34.53888900884604,1789.4884218011296,13749.33426441196,2.881365038917274,3.0137131053274326,0.22798315746401224,4.323212394431717,11.998816025161126,2565.9876586531927,6503.700520070427,1773246.5577869583,21.92182453004788,13.158710331679458,31.240653448606313,2.500013112509764,3.0074932893623374,35.613417174659105,1454.2630028835695,360.0,2.5252923467067685,899.7012634351793,98.3198483913684,28.414444753333253,1914.2757842792528,9879.994187129438,373.3269924755398,75.1934995565681,4.8362089368126755,368.2159895383146,43.333150581550555,20.34206907064913,171.51897191640035,0.9284035999344867
3,422658.8404691929,3.4503271957208916,46.920138821826555,219.03196640206133,0.5543410360378364,0.04581467172577058,1241.8182986966422,265.0938031623359,62.93253048676214,4044.6387273218497,0.032530460708495496,0.24382905260825113,61.092171094600275,21.232598818496687,5.16175514635367,1182.3654192166232,515.4620538556883,4057.6203166865466,0.09745458251532294,0.01,83.08063617771688,0.15908218240942432,78.65950804284928,111.65841413731411,317734.24508613127,74.93435138942843,637.5435775418141,172.6624510881154,131.31345351937125,243.70388751161613,144891.10774893407,0.15788920140035256,0.40120269206401,0.0025229984183653374,86.01700856693024,106.96239845300018,4200.445369147963,14.341544607278141,377954.5101933498,0.9098691256134178,1.2715432451101185,0.010618949126451657,75.23564046258598,2058.559564260545,69.12260270738089,19.343114200207566,2548324.6002952293,39.802292092807505,8.105009866600616,7.867536082833376,6143.100207311125,0.6096518935159346,4837.962602187488,1945.3877838545955,247.41460175503508,3061.374466464206,6.217591724166836,0.001023340369299426,0.056635120382584406,0.7898052447509112,107.42426765492073,69.77885913450717,488.98991570093006,101947.13395062383,4.58323048252614,3.6615677816228134,199.26934306893162,0.8650982331023823,2738.844457163962,298.67349479651773,205.00388053899127,1242423.3997537885,7.818703274472195,13.463885444204333,19.44212007536761,2.5,90.86080679266995,774.3881755618937,6198.98318750371,74600.22439501328,2.925905086148012,22.771929445708803,0.10149463022360766,25.509191403573308,9999.703445978947,1797.8706276532657,415056.78064879565,3.9156793775695835,7.843331666807359,0.7382679612853031,7.714526231160879,88.59763076226056,2560.711832656392,0.8336977509421154
4,502670.08930925187,7.049876031759118,21.64031833845833,143.23169950173326,0.23549986435749948,4.300989820818311,113.3650335356243,1864.2507930626289,309.1023429342739,4048.78884231255,0.08069786934414705,0.1618670280247012,30.0,0.39744515746168907,83.29935830284437,279.5123701578586,3385.419027194782,3812.401245076001,0.0972172345761664,0.032097281813020816,89.51030899885022,66.47485798185308,1894.673356679968,2762.7582494454136,84574.21744807919,50.30808073194195,208.418457795429,5652.95145967565,899.9192528178967,334.2280618279061,320396.04607868625,1.599435571542096,24.80071243440104,0.0012598303663798186,0.959444806190714,99.31129974624417,47.76007692189207,203.41139336132574,212849.74519281668,4.793010733179159,36.68886496747815,0.011007499274265638,10.417140203419569,81.72966027746904,4658.713551691956,4024.4418013104637,427746.5858543826,4.619737884277895,0.8036362852259702,13.375365864956732,16028.000432631474,0.1016533133910728,8105.031413147878,1581.2172295138632,139.26226210553864,46821.81239872541,31.895635578948944,0.010567154466413235,99.39735464363717,11.10358133114805,3.3693715423302675,627.193056693369,1408.0871265247831,62310.513764635085,98.14824263259642,0.0785801855793591,1.2963912134576194,62.42976075650603,1661.4317481732783,329.1952333359356,1057.233371667369,1545520.2211724462,6.869146127450772,6.25428516887945,16.144728996639287,7.36873115710297,4.679293526786986,69.38381977951317,1713.7823125367916,112881.29264287115,97.79369237587146,185.6827835401376,2.623093111706177,14.93068998525726,9461.858186123443,5.027418244837201,3564845.1196035,0.016411094314418014,0.8339066655008107,0.5888739619275478,0.45089028106978485,42.84988099657694,37.10167045644348,1.0237973451429374
5,302806.47683222283,16.157978628717103,34.25678425728429,119.28445463174367,36.98736891650628,0.026255350914603504,26.985318137745004,8161.98030954174,10.468177749465525,4060.7152380328034,0.07951132680291272,0.2578963725450453,72.88715322229972,10.128276394445656,0.22165536570452743,5023.233638365903,4180.256167407404,4032.48803519688,0.0971879116105354,0.01,41.63297852987261,2.1122460772488716,9444.657085716806,7907.904833640396,966198.3111129806,18.380268798402525,3160.557365178439,5072.588012066463,332.94221032802886,987.2929372173094,3467734.139767887,2.3864175128600897,37.445376072450145,0.0021670410062042253,99.77538704899362,7421.387360376416,1730.063614762319,9923.616456909444,210647.22447628807,37.01279305769587,1.6294477808861445,0.011383801305759141,0.21580467944749518,761.0746071020401,1084.6819605608955,804.8845564689192,629950.4586106173,2.3724149385853592,7.506296278154421,97.5852603676542,6631.7826473028645,3.9083120322728773,9150.092206231946,1283.1603548069916,178.95290101637192,360.1154114869251,0.01,956.9517340488786,0.060958205174452273,0.09951030248987745,2033.4546378334012,440.0007535069907,8749.241739233732,3164369.074244174,99.82518814188288,53.9169805290389,0.1095420207112568,99.8724569062893,5207.70916347726,8539.699409756493,57.78919709442236,3595500.09540674,79.20105146446244,1.0964599361524519,7.929171197925782,2.500007105244595,98.45863239545476,7524.940916722118,6103.115444193698,3379597.7489278745,7.4829323919047885,0.08135956360887937,55.805778033635974,59.26053723849264,12.3226096388402,9142.533816047851,1606669.398676906,5.178029730331126,5.0259831038216625,1.370215907534312,1.913136248654993,6018.346189072779,4.322725628883751,0.9761293215487442
6,7323.30511196423,3.2198068450580406,4.820491407802906,246.58390718173334,99.57324860577141,96.40586766411182,3465.337039368067,167.8422430523868,34.868061479763476,4055.982254920366,0.08403828942793792,0.08746120027374046,64.23435215230896,13.289928871268367,43.47750221737642,1791.5739792937861,3279.2432592281402,3989.29569393208,0.07317236514748368,0.055500066759009,30.833294541227605,26.91544838938837,317.3983377218897,79.47901663167485,82910.88944369745,0.3476262692038933,41.304600910196704,300.7661265947334,967.406892578022,932.1458863532118,3511191.121692412,2.2930626828616383,0.01000658793345745,0.0022001415055323322,33.56963394693252,446.96790815367876,261.52355699017477,17.56310683708733,22617.84838960943,2.7354975600667824,33.93323371550952,61.53860617750658,0.12845422087987846,3.960491341390547,1068.4862295416262,176.67118679647388,461657.92219886644,0.018954549550263836,21.786004739074347,21.955881480650103,12278.724479349517,9.122036141624216,1563.3041325885015,190.66421149595098,0.1846129256384217,360.0,58.678163353168515,57.41080927390906,11.623393801029358,17.432619321264927,140.47242912177157,6.014298707196153,4.91458031383532,1488487.7974261632,9.794773941293577,7.017374347133711,2.7240967855714615,0.4552449623356864,8388.603515941004,2069.1831132181214,6401.523800116036,1327384.69144452,0.1672550110079056,0.49336979729612124,36.206735269183035,2.5023663892875767,0.35991489276300775,138.0244208600364,485.8840283142383,3190344.411785501,0.01017407548762329,0.0785160345560499,1.0283449324988458,100.0,365.083337682628,2.089689007678944,552053.9727886117,69.09837506896052,0.017932136757782376,0.8427120899903207,5.989495935630772,6.150264487093915,335.6117584771566,0.98561946024548
7,427045.29213713366,1.4049259030641221,0.021695772883629564,158.6776493887432,74.33362221572514,96.4837390263515,87.72260841326542,3971.1608809301665,85.7738518592848,4060.4829777068812,0.060371894314331875,0.1757797845715297,40.283725973190606,8.6516164186479,1.7260474645649644,5824.648307634913,3.874888029246683,3058.8414563297756,0.09748029156854808,0.052614325446362534,43.21932917579899,3.271438539621879,129.51488554303717,3590.939819710635,163702.82613783228,0.7011924118845477,2667.679509627258,656.7289650225403,986.1845204259329,995.471997899343,3589551.388956194,14.878830478181287,24.38199015310993,0.0032868469978907106,10.30316540084555,876.0017539248421,1233.175701608286,18.88096057244542,582777.5220413512,2.938000636549841,0.5933952709546627,0.010685690451144836,0.37577690031009714,2018.6784371404271,118.47265349168276,3217.9715607213675,794791.5614693068,13.022442913041477,3.8363614831736714,4.301927281172662,10947.138870468514,2.2851994510595643,48.40613795041307,72.03272319246655,1190.407250161397,360.0,16.14311077662374,0.0010824476573861297,69.16664293088247,0.19710551900899326,4.306057207826689,0.15644607764623733,777.1564474935459,240947.98956724541,34.018244215179614,0.12061633651754909,0.5540681354038233,2.1581829639157375,1.585829560408658,552.7851680672239,675.0709143345629,435792.2692203861,4.716666833053497,1.5406637291340797,31.433914619789885,3.3985670928364677,2.6855228181229185,48.24160431572298,10.011421173523418,29518.249539397657,15.577758421263564,0.46239910496572845,14.274092401029975,0.01,1996.6111845286246,371.6052425285018,211232.13253522504,7.658939442902737,8.856062716076076,429.139048877491,66.71167611341073,15.375813268509452,1687.2391464974166,1.1844414874955371
8,132851.15161936657,54.8753984336313,27.484224639513958,183.43341569304772,94.41843452054835,12.954719604567583,277.1161211557169,5533.2562663441895,661.8694832823965,3118.837886926366,0.07508351672938991,0.11309847854125521,51.35581573360241,0.01,1.876445855855456,9.955217392022606,468.4336557728517,3711.6807613126825,0.06503774732571958,0.010029636862594223,76.5990813522357,0.026004971314019833,9758.827615271828,2880.7715976077784,10047.698251193884,33.822018767693386,7776.861981366648,49.98449822835883,963.5749884469594,274.65596151317254,981586.2499572582,0.2863419314168272,6.150507814979046,0.002503282499062715,92.58761417531194,76.14080774561724,113.97749692531089,2715.5371115774187,133768.3162575319,13.72155835452986,20.855218935790464,88.6657496853761,0.07876172194737872,3.9317938124799894,9980.832690900328,3234.5050558882185,1035755.4110621,54.627823703465864,17.125965609717838,41.70244317739833,9506.378393807696,13.912564640823058,7.86870633140821,131.44349104487503,745.8265047110783,460.1434800420502,0.01,523.8925105083881,82.26394391657365,0.2465887515501171,346.28963587499214,96.71699335115756,77.59325680740523,837243.6693137811,53.72840714384336,2.2481441383315657,14.042775684296942,2.8382831297478224,30.390242545796024,3.2575950717686735,5989.114685859314,327473.26152609976,7.243111192578261,0.8362497347114716,28.195310174842053,2.508511394895876,14.862223369061185,902.5600542321565,69.60310152963564,3076558.8468283117,74.38747170454006,0.082846388286795,1.1116938628235953,4.6928674429296455,488.1496265935452,9993.28211143452,570928.1021329653,19.840507924422194,1.0642012937760537,0.7416049832055912,37.8747616825164,8.756898347308043,722.0717781485939,0.9315900416069463
9,3270035.7117922693,15.06657323920827,2.9138513830679993,105.06847328478469,1.8781771092702124,0.010000330887709786,9.099524208648068,1374.395983347598,17.226328147342155,4055.656249614377,0.03322890889771138,0.08603554905654501,30.19503758030654,0.0104274144312493,2.4553621507992918,9681.972961971436,1339.299403286439,3538.103617042966,0.09565121196146646,0.056791536643647465,39.76170175280953,51.8623219231682,3050.752416150207,64.69926502107887,9934.79163163196,92.55781194002205,9748.904152136389,280.2181645112574,341.43493426121614,18.147404129268732,1086444.922435296,1.7347477229254087,8.908277378277251,0.002671721964836539,15.956179092605026,12.141305332795886,237.63599501071383,975.6921343644281,306907.7000513414,0.8320123635790997,0.017809643538995397,0.01021584911345239,15.605783345606769,380.54662678714755,4966.993680820818,0.5281673545309495,826389.2379789993,68.22429987470707,1.808585619827312,80.77856903997457,16392.82557538722,2.0064352906941325,239.6122258066232,29.47395663029044,8.335120356941086,2306144.3734836974,77.24066441207233,0.0010001479339127124,1.7948010814113613,2.0610599316268776,8755.562781665729,0.01,487.8714855036099,90762.31082812524,34.78961823682358,38.55698997140517,100.54011837593237,55.276488446836844,3725.0581880211894,4010.3626804188816,3.996868422984278,1687966.5251651935,13.05305520705876,0.7827153132608751,2.591912848147321,2.500961419421272,1.5373142567837919,310.8085468555182,1589.219703958124,146326.7175287314,20.64410136445134,11.204872528975484,1.0020452028247027,0.6023247855504438,5414.571170380889,63.59101080995782,631673.0679816554,0.010000840800032136,0.02257138251586937,1.2937338494290598,0.22129780271972566,161.77122772727307,45.746995612705405,0.9052568843094146
