,(GLMU).kcat_F,(GLMU).Km_GalNAc1P,(GLMU).Km_UTP,(GLMU).K_eq_GLMU,(GLMU).Km_UDP_GalNAc,(GLMU).Km_PP,(GLMU).ki_P,(NAHK_ATP).kcat_F,(NAHK_ATP).Km_GalNAc,(NAHK_ATP).Km_ATP,(NAHK_ATP).K_eq_NAHK,(NAHK_ATP).Km_GalNAc1P,(NAHK_ATP).Km_ADP,(NAHK_ATP).ki_P,(PPA).kcat_F,(PPA).Km_PP,(PPA).ki_P,(PPK3_A).kcat_F,(PPK3_A).Km_ADP,(PPK3_A).Km_PolyP,(PPK3_A).K_eq_PPK3_A,(PPK3_A).Km_ATP,(PPK3_A).ki_P,(PPK3_U).kcat_F,(PPK3_U).Km_UDP,(PPK3_U).Km_PolyP,(PPK3_U).K_eq_PPK3_U,(PPK3_U).Km_UTP,(PPK3_U).ki_P,(UDK_ATP).kcat_F,(UDK_ATP).Km_Uri,(UDK_ATP).Km_ATP,(UDK_ATP).K_eq_UDK,(UDK_ATP).Km_UMP,(UDK_ATP).Km_ADP,(UDK_ATP).ki_P,(UMPK_ATP).kcat_F,(UMPK_ATP).Km_UMP,(UMPK_ATP).Km_ATP,(UMPK_ATP).K_eq_UMPK,(UMPK_ATP).Km_UDP,(UMPK_ATP).Km_ADP,(UMPK_ATP).ki_P,obj
0,2669500.8080198225,2.740988930024763,0.011909065713649325,292.7182160371535,13.076337457400955,99.70837049146938,7245.791383070236,3316.419391917863,0.051719356698045074,0.1453339015664794,30.292088299097966,0.02952842635196829,0.01356091259111978,9984.113139971714,903199.4975290461,16.685865739831836,0.09338308369062769,1194130.7119629441,14.701393481625425,18.125792312369562,0.004878352491947397,40.404084499039314,1524.5130891854478,496310.20086445456,22.59819499090575,73.40189176463113,183.98388802474614,0.40602263903863883,0.5476297384111598,45306.85431629747,17.592546226699763,0.05744863047551751,17055.658760234695,3.100584061018866,7.457195514688754,2.090603928343109,1078007.4410888455,5.909099935799343,7.882593330020648,2.500171904745543,3.602983241625423,25.016526251175577,1.6948568488381486,3.9725083489869872
1,481531.0769086201,2.9888164315020305,13.434209357806763,105.45271072148438,5.633664789020242,84.89541979290442,1.2182542813006543,3532.4474115881544,0.09378787141690596,0.13563535833995918,56.431889063236554,46.89617670939944,11.004242679949199,6820.210366360727,32059.71290340463,90.40014183774356,446.661935363479,1000555.114871231,1.7579673776692113,0.3116016686333946,0.005440360791253212,20.03657230472732,1147.2091961273327,378807.06080321706,15.40240873387563,41.3353624014613,184.57271737012732,0.05594725739127264,1.6957343440743031,333919.99464200804,5.843972933444054,10.194642724181406,16451.53799174346,69.58255818323173,53.0787965932251,1.2606309891091223,2339792.9695273307,20.39260479104561,4.828465935001647,2.5,0.589604816372078,35.28437091443328,3.260385538505927,3.96044584613855
2,998747.2637546628,25.80928523126545,45.01339732899646,109.886302521463,7.555227794317394,52.49915629663091,11.903970902328215,4042.9032361677196,0.03257548512864715,0.25799999999992285,34.64113157692753,76.4320908966808,32.59431186884635,854.093504429008,12045.093784102459,22.690683252946094,9997.662798712383,529794.0204579544,6.127063571537493,0.44833790631239906,0.005471711803473957,92.22448880561447,1353.6271922533883,409503.53922508436,46.74249785518928,99.85858783552258,879.2657861253311,0.39355768404949015,2.110901579272753,1873777.4455423062,2.1606522150112344,70.85049100859544,7342.296878459439,4.294428440543485,27.741097885267493,1.6951294758932982,1540054.5374068406,5.442330351749706,0.2653862946065612,2.5016942810794887,0.01,5.186983387935771,5.6503096374904125,3.967469626915788
3,44157.704098007365,0.01,23.53131338358915,107.55034549024097,19.60575938282524,28.853274503112715,6.419647685516857,3840.712785326111,0.09728530416056125,0.25753485524367653,88.33017657023136,0.09279863122630297,61.496693452255435,382.5898877876405,8751.355462397752,44.293446785290655,1855.0526735259268,499107.66522156773,32.86577633949199,13.384038051863511,0.006593726053435263,0.078186038336375,103.68327061342734,136745.21274330508,1.628522168307744,21.613577988771024,0.01402581513058295,19.27487729244487,0.7004763193731461,52103.96410699262,1.3967446177300709,0.9273434275412881,15754.973771831868,1.3714387486719435,99.09488169385658,0.9370371757583102,772902.2100853339,1.7092611244586027,1.2212283124231036,2.5000147271658753,0.19100564760984792,0.42610481387913657,1.897765039834592,3.897107880028421
4,42310.47558536005,4.361999243024311,2.982667409207724,105.0496355969882,0.4988020108080476,96.6206360607271,30.37746615261945,4060.799999999479,0.07690304661534145,0.15886401929871624,30.24949013207171,17.509443199125304,0.7898569417215743,3922.103154846269,5466.30016240542,7.3237172308946725,4377.927396126967,10952.407545201335,0.22935339994081289,0.010000116011235387,0.005241374366853552,67.52696774303408,9695.26850638394,801104.5732138,3.049492572479067,16.11563322283626,0.010883615715999048,44.2356229893477,2495.142675716525,1162820.393825669,15.53380879406677,13.990716746337966,6548.2666837868155,1.8086553569166997,57.81216137507997,3.835539760048949,3567499.629097935,9.803012902936501,12.985296299990292,2.500001894464749,0.41782007684509315,14.151641231501078,5.884457870513532,3.947975340582171
5,3598678.012545673,17.280053702264826,0.031038666003562334,105.34901069831128,6.479009055913147,4.669187067013957,1748.2654472304314,3558.391884970968,0.0973081730063643,0.23909382047661482,89.31455320465389,0.010197167596540525,20.06235747712894,9999.799399816684,3444.15402118401,99.99832477713358,4.539525446729132,77507.16718056677,3.088056896200232,27.94925300366317,0.004102972085981707,5.820423755284735,9549.102816237859,1034469.9641521813,10.498117661544143,5.229400343727138,0.015097927266498248,3.5483124875617045,0.01,642024.8125304445,38.42905470251169,7.557550644761896,15008.284122407167,7.278767080789524,4.64849560837106,0.5950040716237314,279807.17832009756,1.1664667834277538,0.24295853560984598,2.5000014870466276,0.2714710850895274,0.055459810030936633,1.1029117295129574,3.9655269948601695
6,209622.57121814234,7.686216704222892,3.370602857345166,241.22509206787427,0.5612415407523303,22.600521010988363,7.536284786818816,4045.518060669943,0.041224849149100816,0.09225824531047601,84.00354225233501,21.49223380678863,0.24903890982734056,864.5830367091933,3068.4992864390833,0.010018300124453844,8963.931481588967,242987.75707617967,6.088244898123299,0.01,0.005599705945758487,11.46208297284709,8909.414918273998,3596112.773424192,15.076148859340773,0.6720507903697516,0.011447112301604969,0.9192282699964387,3250.6775334459285,72144.28448756404,52.83299685173932,0.12645584013162478,6502.239570178105,86.94874450315862,94.49543701811916,4.445862995019084,1096104.6026339545,1.5603088199263322,1.1893245997960928,2.500142430600129,0.24582607084953287,0.2559849729696516,3.6388328061068185,3.9181867591688313
7,591737.1101204506,9.560374176192076,32.194496375630656,197.22198085307653,1.041707432003308,63.35498531743809,17.482271204290264,4054.7325000548562,0.05473095762250104,0.1412715373705815,84.86197964363527,23.95162258548257,96.88013284576503,3957.3213040878436,17377.942654522187,37.110850625018806,954.8787749981116,10510.747584401059,0.08130841515895716,1.593265774630878,0.0054539127038219426,97.23818033916777,6722.118436649668,2912260.538548004,0.8279017171928759,0.3531513859437283,0.01147454464857018,14.832878890734616,96.05776428056645,262802.9749880099,19.825552893156605,2.4873833819997513,16778.581483370028,2.9204567928848673,3.4649498270325214,4.084829036330522,1496405.0308749776,8.761210938738074,5.208046442579905,2.5001478631152967,0.46625952366289924,6.307040230560357,4.234092916059545,3.9274072236879056
8,1140524.662050043,0.1164360451859149,41.71440216208789,313.8205422121323,6.201699420873183,7.398163139685614,0.26875248320554457,4059.951190135658,0.07151095745412485,0.25680461148562406,88.49385604770953,97.94320070599872,9.192456721075944,375.75294572333536,6238.057732717385,26.53097914719607,57.40532710105667,298776.0795389658,0.24788345178803803,0.06017475244830575,0.005401585647758501,0.765294991944068,3571.6405226657334,222149.284411023,0.0123981826666621,0.36125762705697473,0.011004703950856511,29.045425737410852,29.778418577678313,199146.8673669642,0.22080497791632844,6.599248149003354,17898.27269387962,0.7661313066337102,1.1758534007624333,1.159606055527415,59039.00467685354,0.010480546882409125,0.9458287178904614,2.5032007269914174,0.01,59.87270576207134,1.9892770329324383,3.970203428443955
9,843835.209741479,0.013518081026668117,34.166235431925124,314.9998875916182,0.010741797765362228,41.68123675541457,12.634684976886566,4060.7309476602004,0.03257989820417006,0.25754233319488723,72.2843906638687,0.011202603867076144,0.09073645166291758,9870.48826181118,20673.564989574606,60.54322265839675,10000.0,1893020.3490600965,20.452165367536026,94.0821107396669,0.005802266946943945,0.017387844755523393,6032.49229071741,3598826.0317804045,3.071739209544117,4.13483703720123,0.011572601825595006,11.152416750424313,9982.485700463409,2423745.181482128,2.6069933362117115,62.099911846057005,6055.8541543115625,1.6305199414495455,26.070190176398338,1.7877158378172024,3567873.3298099022,0.8584004469947915,0.04624057366600822,2.500632135449043,0.01,0.020530965494121152,3.509010809099104,3.915730453442186
