,(ADP_Decay_v1).k_MA,(GLMU).kcat_F,(GLMU).Km_GalNAc1P,(GLMU).Km_UTP,(GLMU).K_eq_GLMU,(GLMU).Km_UDP_GalNAc,(GLMU).Km_PP,(GLMU).ki_P,(NAHK_ATP).kcat_F,(NAHK_ATP).Km_GalNAc,(NAHK_ATP).Km_ATP,(NAHK_ATP).K_eq_NAHK,(NAHK_ATP).Km_GalNAc1P,(NAHK_ATP).Km_ADP,(NAHK_ATP).ki_P,(NAHK_ATP).ki_ADP,(PPA).kcat_F,(PPA).Km_PP,(PPA).ki_P,(PPA).ka_ATP,(PPA).ka_PP,(PPK3_A).kcat_F,(PPK3_A).Km_ADP,(PPK3_A).Km_ATP,(PPK3_A).Km_PolyP,(PPK3_A).K_eq_PPK3_A,(PPK3_A).ki_P,(PPK3_U).kcat_F,(PPK3_U).Km_UDP,(PPK3_U).Km_PolyP,(PPK3_U).K_eq_PPK3_U,(PPK3_U).Km_UTP,(PPK3_U).ki_P,(PPK3_tetra).kcat_F,(PPK3_tetra).Km_PolyP,(PPK3_tetra).K_eq_PPK3_tetra,(PPK3_tetra).Km_ATPP,(PPK3_tetra).ki_P,(UDK_ATP).kcat_F,(UDK_ATP).Km_Uri,(UDK_ATP).Km_ATP,(UDK_ATP).K_eq_UDK,(UDK_ATP).Km_UMP,(UDK_ATP).Km_ADP,(UDK_ATP).ki_P,(UMPK_ATP).kcat_F,(UMPK_ATP).Km_UMP,(UMPK_ATP).Km_ATP,(UMPK_ATP).K_eq_UMPK,(UMPK_ATP).Km_UDP,(UMPK_ATP).Km_ADP,(UMPK_ATP).ki_P,(UMPK_ATP).ki_ADP,obj
0,0.009500292712421737,63796.52046330653,0.5349276751311737,62.495300368080386,315.0,0.7823996471130678,99.97855078137657,55.85562654982889,4058.876377611739,0.03265891741126111,0.08689962211789666,89.99999490256363,71.25435740475751,0.10678806683326866,8937.47866114708,568.6085152567617,63891.332540627816,2.025264930007106,4966.646619586816,0.04117529078510382,0.014322444555157274,222656.62288958707,1.0351521009046103,62.4362685821158,0.014560274845806914,0.004580077222115268,498.37963384220836,3434082.393718317,2.4561171829353396,61.98869033057711,0.01157149293173103,2.3232893077167867,1990.3480521777367,48982.0702403102,0.01265420074597758,0.00349030142822072,0.010027259814163034,8406.743561846637,2221697.1758465827,1.834384431994091,12.989238608978434,17660.2525851179,60.544720711691696,0.0164409131542118,12.14929013253817,3598182.121823032,8.069202228639885,5.1564508698992,2.502461621493228,0.15597489788437946,5.56707996068411,23.557438951407555,840.2395474396935,1.0912526655715036
1,0.009926130757948773,208102.72861751585,63.847340136233605,51.83054332411733,314.1874613024073,99.1464311220224,99.43659043878597,490.5627667288536,4060.748569360573,0.09743421835394737,0.25797589014860023,84.30974297875501,0.025615978466265052,52.106696262757296,195.0544721975888,9238.730195754326,3530910.7521209875,7.555251825529678,0.01,0.16545422796620193,999.1035814994308,319989.25790379586,8.968208582925028,0.13487231599223148,99.51899834310223,37.92729407108227,9.48304615076726,3597178.167731405,31.08332673292207,0.01,0.010993132361248555,98.79987831264305,4312.367799065575,284816.5098688613,0.010006002759519832,0.002573439031155856,4.010104446963444,0.01,371673.8044623528,4.477694239487165,3.2306950280692277,7966.60257281702,0.35181565532070846,46.78989890607031,3.420899765610043,183803.28446925004,1.3596193610928557,0.5984289926296046,2.5003433347506157,0.11641711803842515,2.089549406390269,3.9120104835720917,9999.986149881244,1.2901179361457644
2,0.009830210058175937,719909.2870442087,99.95536404749782,0.5027913737049241,114.75900033595951,46.59142053853597,0.021015119144601923,9955.21842127407,4060.7999999999997,0.09549640567239513,0.08752855819731566,74.78233967430963,99.98002523439553,0.03865581161491663,301.08709431461205,8099.11334450128,362.88301577034855,99.99633676743507,0.010000348067371176,39.41311304189621,1000.0,1709749.6351323633,19.94746503623686,0.08062179763493918,99.9995182742067,0.005562324665545045,28.15685739927527,3599993.521518016,39.64598102154788,0.5522871800901599,952.1407033517,93.6113687442535,0.16778204958370824,360.0451012547517,3.3718029054738583,0.003244584894911849,14.621174497577563,8623.278482530297,3598828.060320729,1.9810862822185997,81.48089538276675,17522.16968149478,1.5590351220392953,2.972712911981603,2.2357026945712133,3477295.0997661306,1.9428211930656814,36.4896250766502,2.5005341741401677,0.22176484062292046,14.169469410256319,14.883049607180602,9999.809481554134,1.2071630638736377
3,0.009570230697664977,3183595.310569251,8.235332550536118,4.5905682681521425,314.9822426361189,0.01,0.01,9924.107967802389,4058.321107846234,0.07773047882796118,0.08613625250422743,48.22888949119476,60.53526153854492,0.010483053477548798,2131.0941891623675,649.0336761674691,3585703.354026473,14.063688944958317,2998.8444128825754,0.894658967410019,1.794788046513569,388705.4603114199,0.16917978260145689,10.09959392203867,45.94308756160877,0.003962376727730303,9996.810156166654,1095104.182361637,4.380048665406034,38.881049578809254,54.94941594622952,0.0307060423146213,0.5624247151301803,100941.5022929969,0.037504417500382706,0.003330876644475081,96.68592632422373,9901.086500004214,1917083.9230162608,0.5416319138852861,20.24400241290353,11492.6157457647,5.498510098269669,0.01530543127098282,13.166940159728572,2078173.1480377798,10.02842218750915,3.679808655941366,2.5000892552339486,0.43129695114390987,0.7772778110429356,40.468984969165746,1911.4167550578948,1.2093675610930423
4,0.009178454442242549,234314.6903161328,11.095089047315758,97.77239959862027,206.00055398952554,28.25615939513779,0.010040023405309934,4130.5165002725835,3434.4852527181893,0.06621034445080778,0.08615384155810366,30.05798399958999,0.010008639116213532,0.6297283523065228,1635.755484541949,2432.6241773674355,371.2438000558102,0.751708389443271,912.8058073805743,998.5510551407593,0.35623590292779045,784950.7307903204,5.126006561980354,0.02874126293334627,99.99917871413464,0.05946182182803361,7.78654493768045,3585514.784935011,5.422106299246055,0.4183134590724284,0.010438773737343044,91.9729296355548,3006.8371041585247,360.0,0.01,0.003432686885133531,10.143822855638328,43.91237505024794,2957369.318360679,99.87019513453201,0.3202368924807455,13774.205842098101,3.480330723518886,0.043548908792425435,8.019814665253229,3600000.0,4.929732652337635,1.4876913075419187,2.5000239155126307,0.2442047574033489,0.15904417294754958,9163.908228204025,4516.701181964976,1.218232209365583
5,0.009486042528200464,135285.9281841598,13.734114577339673,18.312206881977524,123.41310134394266,3.327513972255179,11.657651129885329,35.449687492900885,4057.962614211348,0.0325030377206831,0.08667290911003199,43.854247842029714,7.580500503331869,0.06198052890659749,9169.64809939989,7847.2465631113255,388.0234010358284,99.44907826411483,162.85751350735524,0.032832770060392036,23.376242952074126,96541.55917996919,3.6151677884292215,21.926629897738028,0.6977325256807563,0.004294269075460561,1303.194089923184,2591975.6151770675,14.216970720121461,0.829697759892433,0.011247125755024229,95.85622857139766,4607.4483332812015,6310.376733595505,0.011419344165124546,0.0035108555659333907,0.1013447932210172,607.6923611044917,1053429.191933986,11.834138045569736,27.7747423529828,17886.96415092882,12.388474901123242,13.91044747358191,3.3410117406251962,143955.18709537687,0.01126552096687694,4.546299295869941,2.500317804161333,17.952197489459326,13.425478371852767,5.285329143166889,9989.896779564644,1.0926221179219608
6,0.009768221577155959,105383.93694812656,26.268813289702212,14.47469430845476,106.12256356078908,2.6786348391377643,60.9354121878378,1464.2392372595161,4057.4634392919447,0.03261159833497121,0.09149212108832892,30.01019225569228,99.64137264943079,0.7701586850344517,9395.606930695985,327.99465667603016,363.564562881219,0.20723763529780925,0.01,0.36277887466316994,980.4741518849704,1532523.2090731526,96.36778157380448,0.19598662356378643,0.02271864409596918,0.005656163781395043,5986.504702186382,3098376.3566934434,33.532271994356165,11.074364907587322,0.01151761976544686,99.83914241766986,9985.272393388725,3417177.6798444265,18.51981584931397,0.0030595391204679095,94.53078206524953,0.01,1041970.4882215979,99.39279541100336,3.465004646995622,17996.26066538504,4.38469635240368,99.26182037816085,4.496836149424232,2476367.521891591,2.5229438162688957,5.535144272071939,2.501873604867569,0.19607040536720288,18.23326192805823,1.9657083567668592,3109.4894292727517,1.1295409694408356
7,0.009706873772347394,25088.738480637217,0.22863935024283416,99.996165248482,293.74318589694116,29.01475980464198,31.83036006884486,8955.343275337056,2954.398273327369,0.0975,0.0897917332714645,30.20447243668185,0.01,97.76007929596108,327.5677201887918,1543.706727562487,360.0,99.77230538722583,0.01,1000.0,20.31105378018042,1300459.3763571337,6.074226603933981,0.02023658308021367,99.40210536685785,164.88893983045836,6.014040354775532,685365.6769810335,1.0589496555868365,27.117879458606307,0.01093237088202191,93.5853230097163,9112.36981651884,360.00014842561416,21.44164773266493,0.0029476758712982973,6.371544927711994,9.200350574468962,557523.2687085946,34.00360234603424,2.9292137012946027,16020.267910041735,2.6435085632673543,2.3626960819774796,3.2058175735351204,3599678.489098477,9.106268342887544,2.443279426298977,2.5000189543805513,0.10923653165494368,3.8418913644536037,3.372845922371937,3374.91678892987,1.1565913207703493
8,0.009706258947678941,29565.380428307282,18.441791067079222,1.475841221781007,249.55788116186062,1.0721455776784363,7.044560067360759,61.71278395268559,4060.363170558318,0.054300610167955315,0.09693118058780865,87.779935290974,47.94256147892454,5.313792024936554,4764.201122683035,3123.238370829298,2452839.403112983,0.16985192924502937,34.86784599263063,55.720453345417894,351.6279357252814,445049.8121890275,31.928285401432852,38.341316833994654,0.013777879416458357,0.004488563149298838,3816.7525135733313,3577264.6711539472,3.651482671247318,1.3131433414975344,0.011253170600927597,92.50882922570416,153.2149532932859,8332.972435516082,5.0526335651388665,0.0033249879712388647,99.15626973195734,442.3202553178105,1144348.446320185,4.4053949838105275,22.852939529965816,17081.67894179702,9.490048635758695,0.3329915101239351,8.986647978807103,2733765.30730722,16.42940385731221,4.059398743764395,2.500000267536754,0.21287375969347408,27.56036694094119,31.207209769305337,80.8101192588182,1.1377215960248694
9,0.0098822522705779,32446.223998108773,7.020137290544247,5.501783736658748,105.02896789904685,0.8633038323297902,98.8712937562063,9804.909359799103,4059.685216505203,0.09749345085851155,0.08615651225106442,31.486237100568406,31.046673420552747,68.00311318130706,6152.608919327497,7766.402671670504,3587123.6010146686,99.17051636103047,0.01,1.221871534826024,0.14163748027973228,30760.02904541844,2.066211223635178,15.100142500626216,0.030329338470241638,0.004904627571171103,4513.100421696585,3592918.5149549316,41.182624425219394,1.9860365692688438,0.011231381534248314,10.692099809668902,4980.359043234644,5965.727898572773,0.10000049816689752,0.003282545849190234,99.70490709857097,8732.117215062615,1436544.89659958,13.496309059198143,30.457646917904842,16509.65543620343,12.032001010164434,12.804360000186938,2.1499351101677417,740728.1249966531,1.5265750371670737,3.1852056097373995,2.5000145754154577,0.3579790672940833,0.5598502633340239,3.7733520896110044,123.71357299924236,1.0746067243081558
