,(ADP_Decay_v1).k_MA,(GLMU).kcat_F,(GLMU).Km_GalNAc1P,(GLMU).Km_UTP,(GLMU).K_eq_GLMU,(GLMU).Km_UDP_GalNAc,(GLMU).Km_PP,(GLMU).ki_P,(NAHK_ATP).kcat_F,(NAHK_ATP).Km_GalNAc,(NAHK_ATP).Km_ATP,(NAHK_ATP).K_eq_NAHK,(NAHK_ATP).Km_GalNAc1P,(NAHK_ATP).Km_ADP,(NAHK_ATP).ki_P,(PPA).kcat_F,(PPA).Km_PP,(PPA).ki_P,(PPK3_A).kcat_F,(PPK3_A).Km_ADP,(PPK3_A).Km_ATP,(PPK3_A).Km_PolyP,(PPK3_A).K_eq_PPK3_A,(PPK3_A).ki_P,(PPK3_U).kcat_F,(PPK3_U).Km_UDP,(PPK3_U).Km_PolyP,(PPK3_U).K_eq_PPK3_U,(PPK3_U).Km_UTP,(PPK3_U).ki_P,(PPK3_tetra).kcat_F,(PPK3_tetra).Km_PolyP,(PPK3_tetra).K_eq_PPK3_tetra,(PPK3_tetra).Km_ATPP,(PPK3_tetra).ki_P,(UDK_ATP).kcat_F,(UDK_ATP).Km_Uri,(UDK_ATP).Km_ATP,(UDK_ATP).K_eq_UDK,(UDK_ATP).Km_UMP,(UDK_ATP).Km_ADP,(UDK_ATP).ki_P,(UMPK_ATP).kcat_F,(UMPK_ATP).Km_UMP,(UMPK_ATP).Km_ATP,(UMPK_ATP).K_eq_UMPK,(UMPK_ATP).Km_UDP,(UMPK_ATP).Km_ADP,(UMPK_ATP).ki_P,obj
0,0.009833554073938848,1496584.5288264742,0.521731420088205,10.443426858039942,216.97317575952707,0.01,9.036320345477355,7540.374269549534,4059.7906345046044,0.05557130620094757,0.08634689523449511,87.89616339324866,7.980868913495033,0.011646777911293846,27.08122705332733,368.8097298983301,19.668805202289604,5975.936226447089,1391947.913099467,51.89286768793236,0.1811485360334957,9.789706210938041,0.0051294749915515156,913.4794377061553,3408043.1717407405,11.231656662660116,0.20800060592534245,0.0114522956484709,67.22366394079103,376.0285880245435,360.1305509856951,1.7094235710697805,0.0032903891632560136,99.91324206760049,6822.031886384319,339124.8265958822,29.803269831338874,3.4724850489921164,6113.758096474669,4.701192707248914,10.938643467821127,0.46129912410480867,3598492.1637241957,22.721785282445225,2.633942181182238,2.5001551722396753,0.25691138886633397,6.41772330420156,0.5096460662667945,1.0361875654565842
1,0.008831401209333298,57719.266801544414,39.412855737917106,0.042462090376680875,154.93918405867095,15.657736778478808,0.09584365664229141,234.97474494456822,4021.980118215025,0.09749355518718572,0.0861375077611853,50.11721947063095,55.1431134935992,3.6721480995436244,8.949253366866449,360.1818697491517,55.57625654965674,633.0920155862904,3592913.6125858426,0.01,34.73826418863236,10.961463928793108,0.002188972481623146,737.3098425909079,3576279.659346234,0.010429725715621995,3.9286020162887847,0.010872057538183124,71.94353027878586,3609.0122533078115,1437404.8396670106,99.47675545100898,0.004616973954928895,0.37806186226272687,8185.180191788377,49438.07605793696,20.422162875810976,0.10620940733044269,15740.873171178271,43.35995892969047,0.09615065094225339,0.35852270733798075,3556608.438086028,0.10014957093023354,8.341400831051438,3.291289977594819,0.010794035854808507,0.30816252134123245,5362.948268704572,1.2051537830696264
2,0.009614564225356196,533887.7610865105,30.807875022775473,9.125657530062021,289.2850441175601,38.52288018384481,0.9518749713630233,12.960020225781294,4059.997279771541,0.09217705539922193,0.08647724334590517,87.76995828886565,1.1375844704224038,4.98118537223995,3182.866181572303,846577.7385864716,21.125616333984194,0.01,1590148.4717438014,5.45211458635076,0.028784538359284104,0.01,0.004819118283996385,363.9979355059303,2779597.5516447397,1.0241817551290262,0.3795217496214936,0.011976337950568513,95.80521974521065,459.57868941931696,360.12743634198665,57.974227080492945,0.0035142142217877634,0.010444372353048162,295.75592399155215,512301.1625018074,3.3732893464751643,1.7632433176916513,17864.776779450745,0.21220146861954733,0.41932178140094073,1811.1788817484078,184927.73193863092,7.052507777390858,0.6287616025193851,2.5003717736440776,0.5209959918246896,99.16987034064861,3.021121103946868,1.1288903977426423
3,0.009953810394015643,620191.8733345076,7.950304138417053,4.354306186831685,135.91637656970704,3.9401108826675424,0.6903416392802965,13.871349038386972,4056.534536737721,0.0330279643675765,0.23390556484338365,39.03294080678528,7.191414155226444,8.705682760054959,2039.254470446492,3591900.261619453,61.548697939896314,0.021366389683377562,401089.40528664953,10.54922461177368,1.1611369108662586,99.80564195221581,0.005707699888327046,2581.6046795167963,3600000.0,15.977596200259523,0.9730592293137075,0.011500299164244682,99.42018985831415,3.3221825593696592,183012.3012608048,0.06513063365711065,0.002650322086565594,0.08420543424552256,0.01,3362705.8303690604,98.68681668619627,2.497621466903108,9421.635607482674,0.4959216214655745,54.32891107068115,4.515387335585437,1996474.1666468482,18.25430847215053,0.011085297802573186,2.500162471246703,0.010020688711135022,0.28931251442858297,2.138527349986825,1.111706186691939
4,0.009333629075600973,306095.54266208055,2.3776773240600706,29.742944058598223,313.15488215530485,1.9360032218141041,33.92309323680541,167.29525692091704,4060.777580088965,0.06201972922964443,0.1101408293451257,30.00989567775816,0.010038983005976046,0.057796487561038556,775.5491318550262,11374.845564415626,13.409444047522804,923.6860028227637,90336.35837840493,0.8072824696719145,97.14965312944773,98.74782424990788,0.0034892680445568667,1852.9141533632712,1331442.691167632,4.512946830780617,16.14261717680804,0.01117734568975686,23.687505973123034,9825.697748744617,84993.10303652399,93.60366304298728,0.0033812640970479146,0.061126957820631586,3024.179042475357,137685.99793695033,2.684901612649111,0.9354186035120505,14556.387291214416,98.34453859148596,0.03156686649607777,5.974254573188951,1380637.9751440894,6.1773779175459165,1.2223840441069853,2.5027733105759107,0.10413431212749111,1.5561541308062457,21.32246498848956,1.0721630105711
5,0.010132972193176878,188239.7678685813,0.20542605317532164,5.421095186335037,122.603200509081,17.14275552119904,0.16908032453656419,397.39657791272447,4057.98994152737,0.03269694579648355,0.2575214994856104,90.0,0.2574433340644296,0.010000015818079407,455.6272119300455,5624.095524351005,95.95486984306619,206.26546680176511,1767838.473302626,21.837680412235905,12.153168029177777,99.8116930350759,0.004842520693608194,10000.0,1689914.5332778243,0.3695716394840052,95.35959004012444,0.013193177493097319,92.81027327950527,0.01,8044.382789309349,0.01040782998254506,0.0029581275771468265,6.3871999484988535,167.10434936459941,1093189.1054869916,5.778857764184574,8.488493532195516,6325.694145322655,0.3188253542854529,2.2910881651455903,3.233531533833212,2687343.85625537,21.556617901232006,1.941878680501153,2.505136091193028,0.1708685160693172,2.8450037491065867,4.074648064302247,1.1435453679691274
6,0.009242061672531924,398590.3328976411,1.0262613366465798,22.294304263317635,105.00794756571321,45.98781909073349,13.870951533142476,0.6591899379915648,4060.7999999999997,0.05228949441940319,0.0865291022673965,86.26692818432953,0.01,39.928356171604875,5980.9337810461575,3599999.541063057,0.021141517240457656,0.01,15152.80859268434,0.13268913857521608,54.10881407658171,25.338195750675137,0.003823262691924378,9778.159181750802,3505061.0703427186,0.7415719936846455,11.285684523268628,0.010813168723467836,34.8673254196281,153.8471908101102,175056.0263048568,0.016678156696696155,0.0040502577633282286,98.85531338586063,4545.180784512267,651625.3196139717,69.98405490558328,3.5935089935975455,9842.411716045424,9.443399624802783,5.952344271916912,13.091168965110931,245699.5305103335,16.251568236031112,1.736435135025326,2.5000616023425066,99.98412747922882,100.0,7900.756203881571,1.1564697720851322
7,0.009837974406880876,22544.383363547975,0.01014195339986682,2.521129574184667,313.7917134596399,99.96694593714061,5.09883877586785,1.91910918878303,4060.6592444977155,0.051729685322805787,0.2577608638856596,89.18061421014929,0.12858726169083548,0.019386255638397062,9166.092071901187,545982.4237002818,13.15418045145059,0.025201638576236328,1025718.4434243006,0.17671145272727026,6.798735248000966,0.23495462220455282,0.005128728586996696,4739.710901313307,453490.33729006123,0.01000003868886694,15.266215494618383,0.011258989301919658,0.010006859966143247,108.83377677644887,3595378.4499384128,0.012554188951544705,0.001,0.040324333861509916,0.010000099269205651,64411.21178985731,0.021765327572296395,0.6086265415877914,12021.430300782371,0.010475463578751341,88.39646480949332,0.9438913584362841,3458114.3852898465,70.51413854844193,2.543344936605216,2.5043738268826217,1.0256423411541409,61.92971584363618,2.0728536597946747,1.2493888060248273
8,0.00984947919677392,3476156.563616383,0.2805910731683075,0.01034183061153339,248.46731751890746,76.12359362886995,61.68276158762963,711.3090093986641,4059.284361095821,0.05861011838254959,0.23884376788407882,83.74922292811304,0.010000335659610534,0.010001583833770212,719.2380226818044,75528.78421586756,99.51685991911778,9993.057237922256,2240819.5889887298,24.627563007035057,50.22965208771507,0.7460917853956359,0.00408299417411972,2388.1048541927903,3473283.9892366994,15.932521026509821,3.5408924864154794,0.010821619028694112,0.6331941645097773,9997.858843570784,3599964.1729111066,0.045413470129021444,0.001732442213309637,58.29924071656062,0.01,976143.7628713495,2.9649673815541115,28.62468933165635,12585.955740783236,14.399378021371023,1.0486788590915066,2.86549179436583,166353.53387659648,0.7242073481497624,0.5522507731684515,2.5032302507543305,0.03501255493024772,2.475848468628696,13.809901660460294,1.2510964048270197
9,0.010208669794029178,352354.864488871,0.04454365415027813,15.458897768707853,299.127968320842,0.027168128478026816,0.018126770897838224,9.02266641543375,4059.4980295434093,0.039753916954166586,0.25792505951310096,51.30534004334192,98.68406848561021,73.9662990898765,7950.492845222273,3599291.583391667,54.0713778955414,857.0197405660757,301924.69355463464,20.62950500570199,5.501136667373032,0.010112296703390212,0.004943797809081539,9935.121557959283,2950935.6878674757,37.523526648711304,0.01,0.01111711555630093,6.056596883817847,9999.997665393334,1939.6317320135795,6.297565463669945,0.002923835939731319,99.92322121152282,6671.8283037107685,150794.17678056873,43.64546545928101,1.1880143930443445,18000.0,13.718213824735594,98.6143374236083,5.939221058198823,812346.0551026125,22.227711606017262,0.2590204743634368,2.500531507375924,0.7224957577450573,0.35033142855920274,5.130095950523821,1.1331877241701929
