,(GLMU).kcat_F,(GLMU).Km_GalNAc1P,(GLMU).Km_UTP,(GLMU).K_eq_GLMU,(GLMU).Km_UDP_GalNAc,(GLMU).Km_PP,(GLMU).ki_P,(GLMU).ki_UDP_GalNAc,(NAHK_ATP).kcat_F,(NAHK_ATP).Km_GalNAc,(NAHK_ATP).Km_ATP,(NAHK_ATP).K_eq_NAHK,(NAHK_ATP).Km_GalNAc1P,(NAHK_ATP).Km_ADP,(NAHK_ATP).ki_P,(PPA).kcat_F,(PPA).Km_PP,(PPA).ki_P,(PPA).ki_ADP,(PPA).ka_PP,(PPK3_A).kcat_F,(PPK3_A).Km_ADP,(PPK3_A).Km_PolyP,(PPK3_A).K_eq_PPK3_A,(PPK3_A).Km_ATP,(PPK3_A).ki_P,(PPK3_U).kcat_F,(PPK3_U).Km_UDP,(PPK3_U).Km_PolyP,(PPK3_U).K_eq_PPK3_U,(PPK3_U).Km_UTP,(PPK3_U).ki_P,(UDK_ATP).kcat_F,(UDK_ATP).Km_Uri,(UDK_ATP).Km_ATP,(UDK_ATP).K_eq_UDK,(UDK_ATP).Km_UMP,(UDK_ATP).Km_ADP,(UDK_ATP).ki_P,(UDK_ATP).ki_ADP,(UDK_ATP).ki_UTP,(UMPK_ATP).kcat_F,(UMPK_ATP).Km_UMP,(UMPK_ATP).Km_ATP,(UMPK_ATP).Km_ADP,(UMPK_ATP).K_eq_UMPK,(UMPK_ATP).Km_UDP,(UMPK_ATP).ki_P,(UMPK_ADP).kcat_F,(UMPK_ADP).Km_UMP,(UMPK_ADP).K_eq_UMPK,(UMPK_ADP).Km_UDP,(UMPK_ADP).Km_AMP,(UMPK_ADP).ki_P,(UMPK_ATPP).kcat_F,(UMPK_ATPP).Km_UMP,(UMPK_ATPP).Km_ATPP,(UMPK_ATPP).K_eq_UMPK,(UMPK_ATPP).Km_UDP,(UMPK_ATPP).ki_P,obj
0,3544936.742594051,29.351244056455098,97.9624120671779,293.219631151037,2.353375534266574,15.604606141308741,20.855479603920188,808.3057939978132,4060.3286602933317,0.03747934737067617,0.08600949608072088,82.45783645270542,0.7426954977750326,93.2069414070211,1291.5907182771489,88071.45243302663,97.09828641488383,0.010005592145805731,2745.348138185777,63.70139179250286,3080193.3582980167,11.218423905751003,0.8114453517907594,0.0028135698011799676,99.99962263455046,2298.9147543225495,2102168.090544185,39.33257642881067,0.44119261326338444,0.010688802083846876,2.3816901000267654,9763.104134208117,652632.7347091085,7.208730338451857,7.5310814756830995,12297.936951838165,5.176548835990018,99.95877616145901,6.347037836026626,0.814474523845107,2813.4698422958163,528913.1337701057,0.05152146389997097,3.1036734983526544,3.9574785612073717,2.514415278325518,0.010340774550598574,162.45866788480046,3692.5582374129253,0.010876050012417917,0.08822080576516018,50.65216125135424,6.721573587306377,22.446451838277472,3163397.507689739,76.7637505976311,23.37970602761656,1.2908203319131801,99.64981451261826,6361.30546094707,0.8491609225544768
1,188100.40755684185,45.337231048771145,7.162507629607312,125.03713985908952,1.6633887818533697,0.9452737055534692,3316.7709714040666,607.6689629323528,4057.0311516472866,0.07867360947451127,0.08865418980029459,61.96591424160973,36.33892464626011,0.17677397265883735,567.7020579283246,1109279.7582750348,11.764854609508243,0.01,749.3877540580249,673.8397489515482,213167.3912179904,0.943815875833707,99.90461444490397,0.002598057010239161,2.6552877325493602,121.47691798202217,332253.39972316223,2.8232718259668506,1.8504581993399634,0.010575847987991552,81.96331818334451,1308.242280388108,193716.51394568995,9.632702483226655,2.6882031434049787,11793.727486759373,1.6997845372979277,1.3153704732066636,38.598765480606964,4882.856550245624,1946.6750656148192,767463.5003622953,22.451152906588288,0.5786356141833577,1.2776444028279974,2.5000305308481727,1.9128681414121267,754.722583769927,887707.4502638859,45.90673597848378,0.0831980945098826,0.018047032412011464,5.205183420339179,208.00845392487875,296692.01608548313,10.505302188596994,1.5604052490089784,1.2149202150253928,5.412802429642369,275.90562483628844,0.883549629166493
2,76656.39305387046,0.0810713721665616,1.4581793826820084,135.24689849774765,0.01,19.951233659152123,9181.857287294106,99.33617692640195,4044.2281811871017,0.0325560952751483,0.08785928293090606,46.1500750173639,0.05145534284538373,0.01000088151803728,8833.966691648435,228906.5323111787,0.011514795773408647,0.05224893047650324,0.011104697963804734,572.5423686835969,848977.0773913028,4.21102100241347,1.305994707133749,0.0025076713157996524,5.0370475017932135,1487.8139962473529,2364754.5537683647,10.745020460878182,0.7892004708344444,0.01093433501034924,5.114846373347158,924.2604136168452,3587005.663207862,28.820935330333224,8.932420513286786,6488.535487967499,1.8325856890620464,0.2808673693206052,280.897130920431,522.5846945571097,7515.535679017085,291175.5509343754,14.336613246171273,0.47793713557538503,10.950090320559262,2.5005661911516195,86.46655044653417,3431.664002352882,44155.99317669635,7.166606407942496,0.08465146852777879,89.7635687839562,5.9839270882138225,3891.9524375273945,196712.12164121235,22.852309684663823,0.0874138147544119,1.191250868183513,1.0622989512432035,53.71810897678384,0.9063611718723973
3,312563.5163692845,7.361947200549485,2.368938049491819,291.7559004437258,0.25498668553424236,2.3378595325865374,32.0241993721967,24.562331235945315,4056.980524203941,0.034090243713286054,0.08641844129329808,51.47638800848955,0.01,18.476319538308733,3671.7570860547985,76033.57840706804,6.270289487533189,6206.938237359547,8269.088927015962,833.3424980945505,398696.9979387389,0.1406617259675316,2.744069269870182,0.00285065576182716,36.00116478528517,1255.6017121298164,1998564.6760707002,1.088289647155407,0.5753990417532551,0.011049902014536109,2.5261503897105286,592.4602614377668,1186873.5487565587,19.370839526227005,2.0483174437752525,16882.243247719227,14.965135682846109,0.03098678445208415,9762.692062683796,973.6304378316366,2929.3832185778756,1136668.546449101,25.46261921955695,1.9940782499192735,17.58233523635156,2.500000912310029,1.7264580088804249,29.611226776623656,16375.44623723801,1.9259331764935042,0.12446320698403335,2.2603141599137193,42.19666118499959,1.7928212100744703,860749.9185502693,0.01311676137330719,99.99896636915312,1.3061541547294702,17.179270501994523,52.03408094830496,0.9208445225950603
4,296525.6053712968,1.7506646059815392,11.205363055171613,309.38458187635496,1.0761212489479894,0.0291717880621049,902.0051139383803,40.64225811477373,4047.5767564312746,0.03604301942155529,0.10492773158887363,89.99293849057158,0.019305485753071158,98.42006885952848,1576.6230465136734,2090768.7153914461,74.69402404504338,0.026870357552690273,4539.424181329712,999.5917841638767,525058.9577489918,3.8759738363249583,0.6554879459063121,0.002587340003782963,3.9889803718146117,1016.9522503154333,309845.6821512638,12.508194337626279,0.8880618846304463,0.012454587763522724,1.6307654439918384,0.9663305748226636,946594.3192080557,7.312322007534711,22.76012956056876,16661.397420170608,2.0094687044992576,45.49840670002524,18.741216444837562,94.87814136631597,1798.4873886579871,2708729.033662008,3.1799424403026513,5.160444819134054,33.32815792448826,2.5000144761061853,0.19866642409983007,1191.9153799931855,3599628.1256081443,4.7097525617501,0.07962676608603744,1.6697474857559225,59.70315912386893,21.510954763907687,352196.55205581716,25.70190456608329,12.15256119706612,1.2142473979264514,63.58946993291683,195.12516555575763,0.9183209555332986
5,3584898.6201440752,1.8372480143480987,4.827601603731735,226.27339478533398,19.501175919318285,0.010000002877645938,16.023547971734217,32.71747107848647,4059.7271102407153,0.08106750335345324,0.1810078107501048,90.0,14.62774629645229,24.859901704659404,3572.8385985848563,361.35516604312306,74.31720806593795,8.466784681191879,420.5779930755127,26.09070105772273,3387510.214261364,9.70355888341553,8.009417177322682,0.002566851272521285,2.497640755803948,22.497185401312375,3544017.1264437623,1.5528642348439883,18.345301971233667,0.012797050281601281,81.97140223667718,0.01,644741.9615441116,10.157780989234835,4.879897937645354,14912.177421782942,3.8416277646481993,0.18909278709646143,25.80773567496624,3681.960267532778,3579.6635302482982,818193.8911310802,4.111907429937014,6.853867306771987,4.138205344426549,2.5003219686176354,84.48772554428197,9995.133879013276,13906.063732540442,14.472953234090351,0.08358545052473064,33.249261271144235,24.77011002215959,2408.0187065135106,404636.09790667327,16.892503372598938,0.1827351491549505,1.2302573016741822,2.395606440640208,65.66521933750656,0.8654006567858472
6,69682.56044906576,0.20625704578522486,3.8145850884750745,167.59650793673228,0.010000080042638745,15.67121147516704,190.99372451275963,188.23706362490142,4055.0781786327257,0.08597756544096638,0.09043352873228576,88.13377161673797,4.484711218980462,22.642747193179115,2331.093630075919,360.0000039536562,0.0101105877370705,5120.031177612282,4671.726854049866,2.4309014619868035,405878.0589240345,1.199862666768526,9.605762614328247,0.002580081375892624,43.810640584069276,6407.737108166337,600066.0633006297,6.196079440932046,79.92609111214533,0.010919702260305445,25.073572935859428,5238.706549413337,1965684.0290311964,25.58970403460591,5.208090072792968,17614.109052056654,3.618993342219641,1.3528519304427593,45.06028308798089,0.44340716254881796,9995.600250690797,894330.3076269205,3.4509747838335945,5.250338554295344,99.9439095830207,2.5010334428820498,0.3983126526511375,515.5756033441329,1228745.5736063516,24.921776778539655,0.07959152608525959,0.5605915277170942,33.5690010988523,2850.597789940053,52198.21488284344,0.01192216476535098,13.729348508753407,1.1835256875840965,16.66371426211027,80.26074036714577,0.8719867058176829
7,3599408.409549714,0.010749589186641833,2.6894414638509057,300.07612263616795,1.9415473123129863,82.71690100758272,0.01,2017.270903921081,3588.837294802965,0.03939898876067344,0.1029800400246521,90.0,97.67144605042556,8.437411187362933,2450.7190842452724,34491.61191655086,83.45824014778002,0.01,621.9701524388751,36.06579492901141,896461.8438175428,0.5306347186323055,0.9137101928452815,0.0026232001783225204,57.5370076009298,2030.7044433713754,529939.6065728029,2.056808016201833,0.01,0.010556967709177507,0.09329423551705783,3111.928944230013,3548704.7927194294,1.8493449260410098,93.06709238528228,6027.332862610563,0.6427039492453057,23.716850306675678,5.1340063213611336,9852.520560591156,79.73883314072008,3437475.661200922,0.03863098433522738,5.36242925664886,0.6434272057616305,2.5004150875219424,0.010057283329247803,55.37925162997655,1444.8994951112145,0.018323966033568503,0.08336306307204351,3.8444415187402594,0.1574411668059689,149.1642800772869,1472508.2995636053,10.29647258463687,18.917473882265238,1.1942684938829706,35.1067538392425,2521.8616382065106,0.8889285765616437
8,110520.69969951178,6.5508863543517535,2.733027605016827,248.0110503255724,0.4972974589726195,0.011458085149003027,33.4052887339029,86.86742538454921,4060.7999999999997,0.03590115316939149,0.0860105373447182,30.909744751947414,1.6204704477640528,0.11206282728321801,9528.827742948524,3375048.3900453006,15.756690781941089,142.69450210764694,378.25643950807955,709.914709518285,387129.17002475244,0.17519720657218796,0.3416996779114915,0.0026807732428770336,12.377935097414369,2816.721888499963,119665.81585108623,0.15069066823853627,99.7226312460121,0.010986951949774205,0.640735222285251,7110.460120209634,199081.44505834515,62.12571096767442,0.27594552697808,17672.841060563253,2.892644098817977,0.2446180844117172,8590.46431837998,3819.4117647595817,1073.135162126283,97272.86617388991,0.30370062059117026,0.14063162378136357,27.87586602799953,2.5017641788798772,0.05345806900463622,1569.3752400691403,2788370.2824194673,8.675539154021614,0.08325697187813966,0.15065437927248285,2.5427389086881695,9992.68635793369,1330999.3030465143,9.64307333338665,8.074636403108451,1.2114139604660477,7.728210615282939,155.8435183920728,0.8901650674253628
9,1305615.2948043225,15.482294172866625,99.35939079767243,113.66059618067527,3.191668204937912,92.9297162200834,917.5073733205727,34.14421688393928,4059.80308730943,0.05190168988282297,0.10982621942763342,89.99426944521969,0.01000030093027004,6.770621617574881,6543.177436233836,400.06247648311603,0.06329031794127019,0.01,1643.3500646364423,381.9340309847082,104017.15261754299,1.2227673867264868,0.1175139273907163,0.0026126293157142,39.555297503176526,9985.02048040023,981976.9724020844,12.001210704751506,0.011958583747699774,0.010673076591419813,9.304147115403367,3121.925978999175,476081.12365059066,63.996935957303066,5.26624055814787,8656.890669765427,19.07226334346249,38.48122815076545,8.072182643712539,132.79362287913358,960.1399450253729,3599999.7829822665,2.0310772016596785,14.373972728746605,14.876634628889162,2.5000338040092758,0.22962087829896907,178.2008244184682,2209541.719006594,8.719216144491202,0.08445662314133946,0.01,14.076870158822066,1568.5255545645969,345083.4614288537,35.42803461932825,6.011242293075683,1.1998502038447212,16.820757258106024,4944.955609040056,0.884846747225546
