,(GLMU).kcat_F,(GLMU).Km_GalNAc1P,(GLMU).Km_UTP,(GLMU).K_eq_GLMU,(GLMU).Km_UDP_GalNAc,(GLMU).Km_PP,(GLMU).ki_P,(GLMU).ki_ADP,(GLMU).ki_UDP_GalNAc,(NAHK_ATP).kcat_F,(NAHK_ATP).Km_GalNAc,(NAHK_ATP).Km_ATP,(NAHK_ATP).K_eq_NAHK,(NAHK_ATP).Km_GalNAc1P,(NAHK_ATP).Km_ADP,(NAHK_ATP).ki_P,(NAHK_ATP).ki_ADP,(NAHK_ATPP).kcat_F,(NAHK_ATPP).Km_GalNAc,(NAHK_ATPP).Km_ATPP,(NAHK_ATPP).K_eq_NAHK,(NAHK_ATPP).Km_GalNAc1P,(NAHK_ATPP).ki_P,(NAHK_ATPP).ki_ADP,(PPA).kcat_F,(PPA).Km_PP,(PPA).ki_P,(PPA).ki_ADP,(PPA).ka_ATP,(PPA).ka_PP,(PPK3_A).kcat_F,(PPK3_A).Km_ADP,(PPK3_A).Km_ATP,(PPK3_A).Km_PolyP,(PPK3_A).K_eq_PPK3_A,(PPK3_A).ki_P,(PPK3_A).ki_ADP,(PPK3_A).ki_PP,(PPK3_U).kcat_F,(PPK3_U).Km_UDP,(PPK3_U).Km_PolyP,(PPK3_U).K_eq_PPK3_U,(PPK3_U).Km_UTP,(PPK3_U).ki_P,(PPK3_U).ki_ADP,(PPK3_U).ki_PP,(PPK3_tetra).kcat_F,(PPK3_tetra).Km_PolyP,(PPK3_tetra).K_eq_PPK3_tetra,(PPK3_tetra).Km_ATPP,(PPK3_tetra).ki_P,(PPK3_tetra).ki_ADP,(PPK3_tetra).ki_PP,(UDK_ATP).kcat_F,(UDK_ATP).Km_Uri,(UDK_ATP).Km_ATP,(UDK_ATP).K_eq_UDK,(UDK_ATP).Km_UMP,(UDK_ATP).Km_ADP,(UDK_ATP).ki_P,(UDK_ATP).ki_ADP,(UDK_ATP).ki_UTP,(UMPK_ATP).kcat_F,(UMPK_ATP).Km_UMP,(UMPK_ATP).Km_ATP,(UMPK_ATP).Km_ADP,(UMPK_ATP).K_eq_UMPK,(UMPK_ATP).Km_UDP,(UMPK_ATP).ki_P,(UMPK_ATP).ki_ADP,(UMPK_ADP).kcat_F,(UMPK_ADP).Km_UMP,(UMPK_ADP).K_eq_UMPK,(UMPK_ADP).Km_UDP,(UMPK_ADP).Km_AMP,(UMPK_ADP).ki_P,(UMPK_ADP).ki_ADP,obj
0,793619.505899956,1.7990630875331635,1.7018393480986103,111.9395479184473,0.10820021119060404,0.11116950140240739,3510.0567882747664,1275.1905548783786,3603.1570577319612,4060.3059751888086,0.04811365950868703,0.08915623209214645,37.41704781655049,0.010227457511687455,14.776000800599324,5817.2152867117275,6659.620193389291,4045.8802869272477,0.06672037986566423,0.3103914605277916,31.345959227595174,4.739890102049555,3295.301467412677,447.334671724793,360.94518537763685,9.178560247424457,0.01,152.06221279833022,989.7691307573741,999.9730796033012,1100098.473610974,4.21382820879359,29.694449493645347,45.033868710715986,0.002450280490568933,1995.797066592607,1092.6803576120296,270.41316078542354,1460575.3926472915,99.57859121241604,69.51102554820926,0.010132100498747442,96.25616465614002,1242.930074269922,9473.963807906399,1641.1175253104893,8532.296883619125,18.36286976234146,79.15728616606725,32.38625077717023,581.7375005510713,21.935314521513234,9898.375561938194,2797553.727416778,14.609561964587211,40.84396401844634,16027.1956822721,1.6277228043733696,1.7743946654002232,26.927758901677798,5754.140133060319,9724.780931741647,3009627.108014485,2.4219449901599424,12.884387708095193,0.9726655883136575,2.5002535351407205,68.48800121595656,3.6517343754800717,2592.490462998724,2922113.3029870368,0.011252572301093482,0.0728015799881824,2.139039288045559,88.48585166454028,1173.618802626718,9616.954212571538,1.0125405240921626
1,2211893.1720120404,3.3447419247934835,8.290004742870682,217.42629584450114,0.7958630871424649,26.12419377547073,19.14652757283453,1571.499333309106,4.703171916967449,4060.726842521135,0.05507096789536689,0.08637478132726716,58.46700590962697,47.7550719633411,22.125609269273582,1261.5994762446091,423.9801873758007,4031.4655690479685,0.06508283247073997,0.5131828674885751,88.06013177588558,8.336042934747562,1221.1601816683092,1128.0926461150434,792714.1473784408,0.17012836269770218,5885.512627304776,8896.029511725357,327.8366191844926,998.3641663206831,566489.1599821696,1.636445176673841,15.288631752332472,2.7030723521374673,0.002439460662764724,1111.7557731410318,0.21494956968741083,345.1783319855063,1234960.6949055777,9.448503390873185,13.716200664367491,0.010510734030978375,92.5038857975254,264.3797888173861,528.3880122123337,159.98882407902815,6583.051023600937,59.98721772535897,0.027307107050199682,91.20450060862721,8709.169261231425,1502.9964744624415,252.5144961617423,3593012.760364786,39.993147046388025,22.586672412644006,14181.900520926478,2.651841377857803,2.1322070204667956,15.842684682575179,10000.0,254.45303553864252,1706722.1690490707,8.389879941609145,13.221913878253531,93.61623497114147,2.5022040466252453,0.7067895915751993,233.1857228734884,9999.896803775433,23219.427191983894,17.78573266348636,979.6814993323835,4.835358665791785,15.054548856736657,4.19550181627054,273.09757075444793,1.1355389405849685
2,3548420.327182121,0.013166534333757684,28.663704299407357,314.1772565331089,0.027113297938506583,0.010000271483027472,8901.609119314408,2208.8129261914296,23.099393237855054,4060.154787394085,0.03250929361022087,0.08600596588196902,64.42313755987945,99.75582920196335,68.3119242043054,9507.099653597565,9980.45922884248,4059.9959084756138,0.03412427990986276,0.41405318322456475,89.9966724798566,0.8440787289503701,406.6225087967241,7390.064218061743,18869.028365797098,93.45349200299728,9.46742452979132,26.10027837685299,904.4589524566212,1.3298771653600199,3588164.7129768496,0.041387629632163726,34.21615142245383,46.40150972146095,0.0016338127290803663,1024.6795056055466,188.3743971522677,11.564117517818442,3032471.3436589628,5.835374219453708,6.433003549636396,0.011780140245771292,92.67172200424484,11.027727955225437,9306.098418519447,0.010065412181587423,327066.929592804,2.974103138815261,0.03333571041938279,0.22759283435773456,835.8675743989095,7319.562329405745,2326.5216548515946,766617.444809863,10.668093450744191,8.06529099946029,6006.038722262796,1.3825175648556667,2.184080675748695,17.48791736663063,8715.023881374127,1772.2963047492317,282923.2458849057,1.7431070577201055,1.1746476793449612,11.336092403735185,2.931802999682176,0.4299043973748352,7482.658548708472,485.5199675271929,2395057.868627886,0.045261764724790265,0.06945994033407636,1.7861786405146405,17.8879609247894,9.369848264962656,276.0357391458622,1.060591595735153
3,1773438.2198784505,98.69102058259656,47.70871383871566,275.6756383782962,18.043994626518153,6.285534166436835,49.292053060093934,1245.3379662955938,9704.718101619137,4060.7830176032135,0.032947299841122255,0.08629451558425758,31.275766483316644,47.43806866023377,69.01539547288212,8630.064087801826,9993.904978962186,4060.043572285634,0.09746027406965523,0.2086286256632252,45.88104817750565,91.11013747599384,6334.818608144408,9722.290848595732,300114.9608667887,5.827698910140219,318.8694945075121,22.342444463799044,970.2005539752428,967.8178298485569,2519690.417293447,11.230807721889386,1.4203977624346886,6.658266921317199,0.0026524260317636497,6967.748043564055,7224.702275452183,2427.266652907741,3591550.5242439536,97.50060049328619,1.1400134701002504,0.010201725455558055,99.99849589236237,9982.984385301741,5989.914088404282,0.07010243915393184,740.6591621624735,44.51243040551144,106.29655194213383,2.6325376506568356,7753.9785132838,8184.380357214567,34.82825477693723,2449380.7000643555,8.087201066768902,8.031477598743816,17995.483639279286,2.0698998735768215,1.7031448092900812,16.713591260443398,0.2537437515083794,4196.636610402561,502653.7513298891,99.96792184252428,0.04860526528460617,29.669777285240528,2.500167388018846,67.21298844422448,7.739271910300095,86.91106003405294,271688.06086157326,0.16604099617349852,0.07120792506222191,0.06129953747178925,0.016271216346246713,10000.0,1653.065709251883,0.9175730170173018
4,158435.94811115437,0.010006557114096705,93.39494155509769,250.72072918181954,80.57705092176678,19.454201072595602,7064.080586040192,6244.118931198972,4.1983791427523744,4058.563548893985,0.09610243261704488,0.08612589593118306,61.250602112753356,38.254817972664696,36.33926491646188,9781.288551530937,4167.989089161702,4055.013688577007,0.03298580063187838,0.2766172154127309,69.31090994290585,54.41981302193336,925.590826063803,6325.022850948784,15300.495157085059,1.5994974549393388,2039.462808487564,2176.0085370273277,508.01961342558025,546.2625526019572,141055.3538845987,0.650187635703464,46.66787982163958,2.458627929526179,0.002325232559186853,348.48537798699454,3352.8954544492326,8649.497142075346,3433737.692982849,37.50766435415393,44.928024196879115,0.010130532548798043,94.536114333146,9935.91953836623,1257.1965706939864,9999.76639776813,31886.363649651885,10.328579451749176,18.985220555969093,98.22574144508965,9809.800127001892,72.19209171261811,485.36323638547077,1628078.3572760266,77.16414904736288,5.227894070633499,16150.837512851203,0.96460098604626,99.86493313366685,34.10245288577309,3967.3317364894265,3041.8570889189446,3553612.3473453997,2.3072920272555444,27.061547964230346,0.6303369304974317,2.5003511486188787,90.53231125778669,4362.909014073311,6594.9879800388035,992.985711717821,0.11255425063516027,0.08361081486914516,0.3399138477981985,11.997326381036885,9794.988939905661,9780.951952175803,0.9823261549685646
5,3198676.059335447,22.40062256225535,0.21244513817750932,180.71699901829592,0.5867613994590472,1.006441135663829,14.544626943573666,9582.411167145954,5204.030588913635,4060.6683528905646,0.09660861331450929,0.0871822482914017,89.98406598912482,3.586345670836297,80.56100901023268,5571.823264223497,2878.4921046467857,1900.8565509962334,0.05704457114394555,4.570807220267835,89.93447465882748,5.09652043962169,3949.295356774453,394.19467762403247,5807.493440844601,8.675028528755485,379.81573152364734,5.656566629128258,184.1250604827488,886.5964809349313,40994.99689017347,0.13523824403502724,36.09220441051784,0.19522055467026733,0.0025577969141076756,1415.4962894282446,1333.4517091011155,43.31832425460136,3572230.9244139823,5.718622700083889,0.9597640990392907,0.012191907844070348,58.66362688012831,0.15734814796856508,242.72872778260785,0.010001895287819813,1351485.123793436,1.575047369506783,0.0890097848422809,5.096383838315278,0.01,4401.293191302423,577.7924989803123,1453391.2530470437,1.8177140073082603,1.9257928993490463,13221.59663047774,0.010047891885640727,7.4057139727750245,14.294065493930251,150.93757825106053,365.5682084602469,153684.12481784972,18.13769328001051,0.059709148961157706,0.8241748511559989,2.5009593881550596,6.013313704243432,3.7135086410948785,4343.587193781621,774529.8021018542,50.46860715481501,0.08005042953375695,0.03341219573922924,11.256827791378377,2006.2964124002215,926.6619045033115,1.0926564238057952
6,174795.12473915948,59.82622723677624,1.400841197691453,256.3588210797128,0.367604377234012,71.82223984648193,96.71619441461965,335.2304164899504,8191.208982734376,3900.186415773863,0.088876496119055,0.21014440552231975,88.28515787694944,7.7070765808270005,36.49572933137168,4998.5916860146635,276.07808333611905,4046.792483466808,0.039564046961838135,0.010002091831533406,89.99250014325455,1.662545854724439,9553.952187665438,1469.8756103206497,360.0,95.17632683900182,37.830365575663436,2.5869539966035333,999.9120182033558,0.0,1026466.5766825352,6.526785092622685,5.241119321849858,1.8434992054220225,0.003109245779453966,193.95114503448474,1.4503247843357656,937.6881764831744,3580518.154281835,21.63448757861904,1.1180416154621153,0.012384086102132718,96.23107791949553,1.7866371839032824,3051.768576831825,1.9154141863392091,74440.09568634885,3.6566867401506444,0.00585867955913766,0.02319789199523602,6720.232752765692,10.458671348183652,504.46412932405303,2080444.3959463052,0.4764908495886291,5.437486020414305,17560.71795230475,0.010003976946709587,78.6307902467957,10.791684680953889,15.841339608266608,6203.012397853643,3527254.735215522,37.588556485090336,0.988355843372006,8.142590396513262,2.500003201088487,30.42468648920246,2391.44449888525,315.936997011059,2518.5304962435,0.039101356874326164,0.09645650144136617,0.3483807942927607,42.56500022086861,2514.512545707131,812.6522186857972,0.817408073554287
7,707100.1705267963,6.2896091610796905,15.41822936025277,264.6279344039289,16.022963438662597,1.1303266061935808,3341.5325416039873,2763.114085835292,2641.7392179830563,4060.7845564960508,0.09656100529077427,0.086,31.165283727563498,95.37158135286629,10.734063820601783,9949.784074819603,4178.613184452978,3680.430995022477,0.09368872779824333,0.7883040951434812,48.09554997399682,6.399730518762807,10000.0,1922.3482504593962,360.0,99.76363033695137,755.3780840081371,0.5243963011190883,208.82959616012099,1.0702507065337998e-05,1215790.5011849375,4.192222039742776,5.226650342248742,23.967955757187745,0.002734972359973294,1361.5801104285906,8653.496708517152,2632.8515310438775,2545162.1828923756,2.1398991895157597,34.42366644822925,0.009899744163939293,5.260704407875244,1359.48950941818,90.30447141248513,652.2070690360406,318647.375667696,0.05397680080035404,0.009070216456061682,29.813456343034677,695.87802388137,0.01,564.5512356008404,182658.23763859167,18.295994007457796,0.2376188577449283,17998.500032299242,0.06390314657230481,2.7238091960303707,9995.26336623853,1958.5077648783604,1415.4283394442277,1205780.1687272969,2.2995973023967577,3.730723701162563,49.25372952611678,2.5,0.2902418125477159,5.222618316237919,9450.681850536079,605441.1701114819,3.4085737688082935,0.07707974246626328,0.1281501033378406,0.0968144473491626,124.60174846861895,4625.844540006532,1.0569607366907796
8,316032.37290902575,0.011626612221591845,35.65710368609861,297.10397741499526,25.993499289531226,44.45760767433114,9999.999822396747,9935.524723887691,1.0607044180832303,4060.794944235528,0.03429374723230903,0.0864655735637694,73.93191183033362,2.8556801765812634,26.787891684914282,9914.187378139874,5296.572937896703,4044.6413759240336,0.09695696188964503,0.37262699356271795,78.28778126432304,94.72741676586327,497.5430148838496,3336.463425748302,7858.404959505719,0.01210222003714163,569.9271426702139,0.01,60.10444837723413,0.0,418406.7700373898,0.560730382713867,99.94270506973156,0.19264669586703248,0.002228824116852991,3241.725646066733,424.8256508625323,11.020142912231702,3586792.4314179425,67.45873809267724,16.58010066539135,0.010399264495118455,99.89353979033966,6123.256289278863,554.0057640199935,0.27184268643364695,63272.0318905218,1.7544631670711575,0.04911564102856492,2.5075890405278134,275.25669552593524,1317.4484765114514,332.29768815131155,2400511.384499417,13.722728566210904,20.995339241985974,16561.80013481367,97.3981194998155,0.546341695045095,5.395151947426159,2.115175132989166,184.133333807631,3596484.688589961,9.945107544481909,3.4899998414368993,58.34758266153199,2.5000528880392787,0.1836476706866161,5145.4687952571,4293.443738001381,3143506.558505137,2.4988422545345332,0.08022659192093613,0.01000012486612011,0.4737460853559608,164.83282757354303,9710.412682866981,0.8643010642512754
9,307981.3308771325,0.046193593391476905,0.5534011768446122,132.36653013299357,0.9296980590681544,37.54540504526731,1158.5035569168938,1830.8957972892335,570.0195935133218,4060.730013848616,0.08007508978324392,0.0884106631034727,57.05813749837697,4.676135792424929,9.268076656417529,2605.4429966848375,3345.971959447887,3996.3487895250487,0.052171764217386035,0.4401654055100826,88.41499949174742,9.59151804762782,9171.478058548242,4246.154695371438,1988.801208876451,4.723185838185079,0.03338460331738624,0.01000313702109877,0.7283780750988801,1000.0,270571.0913406533,0.8148905622249266,34.042687783797845,22.943839778801046,0.003428820921404616,351.93454994137414,870.4500002552888,1454.8715710207257,2262953.6368578654,2.7539449650497043,4.749137649760223,0.011144171850556682,38.65137281771607,9988.451843049137,492.7723061546472,4.008031046884144,21239.69192483361,8.887628773932992,20.16938610858807,0.010000003319751677,43.15580440864181,573.506959935021,1838.9951801680586,3409538.70610215,1.5889565199908748,98.17852416346537,6191.686058038803,2.6804548038099654,18.028741286634567,0.8573190473020859,4247.578013116955,27.99930314365395,1506016.3608584178,54.96853210899688,1.8874220627888267,25.06563758992937,7.168210355128157,1.6909514097544132,9833.235954895079,347.02579944266984,6291.471243943471,14.699431729422097,4.343349438783498,99.80572712351773,0.01693602788711455,18.8221712587624,756.8636798604482,1.1115886354822595
