,(ADP_Decay_v2).k_MA,(GLMU).kcat_F,(GLMU).Km_GalNAc1P,(GLMU).Km_UTP,(GLMU).K_eq_GLMU,(GLMU).Km_UDP_GalNAc,(GLMU).Km_PP,(GLMU).ki_P,(GLMU).ki_ADP,(NAHK_ATP).kcat_F,(NAHK_ATP).Km_GalNAc,(NAHK_ATP).Km_ATP,(NAHK_ATP).K_eq_NAHK,(NAHK_ATP).Km_GalNAc1P,(NAHK_ATP).Km_ADP,(NAHK_ATP).ki_P,(PPA).kcat_F,(PPA).Km_PP,(PPA).ki_P,(PPA).ka_ATP,(PPK3_A).kcat_F,(PPK3_A).Km_ADP,(PPK3_A).Km_ATP,(PPK3_A).Km_PolyP,(PPK3_A).K_eq_PPK3_A,(PPK3_A).ki_P,(PPK3_U).kcat_F,(PPK3_U).Km_UDP,(PPK3_U).Km_PolyP,(PPK3_U).K_eq_PPK3_U,(PPK3_U).Km_UTP,(PPK3_U).ki_P,(PPK3_tetra).kcat_F,(PPK3_tetra).Km_PolyP,(PPK3_tetra).K_eq_PPK3_tetra,(PPK3_tetra).Km_ATPP,(PPK3_tetra).ki_P,(UDK_ATP).kcat_F,(UDK_ATP).Km_Uri,(UDK_ATP).Km_ATP,(UDK_ATP).K_eq_UDK,(UDK_ATP).Km_UMP,(UDK_ATP).Km_ADP,(UDK_ATP).ki_P,(UDK_ATP).ki_UTP,(UMPK_ATP).kcat_F,(UMPK_ATP).Km_UMP,(UMPK_ATP).Km_ATP,(UMPK_ATP).K_eq_UMPK,(UMPK_ATP).Km_UDP,(UMPK_ATP).Km_ADP,(UMPK_ATP).ki_P,obj
0,0.006393194522736062,681765.2489916397,34.600198124180224,11.937153988336872,232.646228185163,1.0117802726597787,0.11989967945845431,45.36658178059671,4596.934414766729,4054.38592692625,0.03934336258532627,0.08712257355644216,30.22111726166036,0.010050879419464784,7.163466950226,1066.116829206471,4991.389548687437,0.010172798226397299,8835.785536714895,0.010203156200520223,131202.46735834188,2.7379782198467737,24.260319299048952,5.782559913926481,0.0037665440017524408,2597.493860161615,868165.9903340823,8.634100328536528,0.5676614210907218,0.011217460151703787,99.74317988725358,2695.9942204822564,1099128.44328891,0.0100745161781454,0.002406576418454051,0.0679402273842783,0.01,943965.6692790318,0.7733882214038528,14.257972775588625,17996.212536283972,0.8342443599098512,0.2988206585689778,8.144109533143105,1354.606764051498,382017.5640144548,2.367626572125551,1.1855599659063765,2.500003227926274,0.14394025315160866,2.3777090213073606,18.2892606280179,1.1249968659594576
1,0.0071718020749568095,3380134.624635182,0.18116198113331816,11.868211234287973,105.99145305575132,0.8399499769885098,0.9432958933707468,2.1738884192054435,0.22178538448998686,3596.8114193451925,0.09697624389243722,0.11720342733116025,89.62948762816144,3.222199541948482,2.040627455238567,8452.74796492485,429.39037837742075,98.95020686597107,55.72183142826087,17.18794480063548,1594570.9677248525,77.90223379630544,10.89940552575186,0.3210084855529999,0.005173800598423607,1388.7906168396964,3591118.4006724386,26.07432499812971,0.16286620961237708,0.01179940280807876,34.571144619155014,1871.7594734593895,3425.515734773198,2.269419816251272,0.0031115187062455483,0.11791895971997082,190.69039760626475,2715096.1340293647,0.15371025165534505,26.717219202707277,17977.078474747334,1.3876274852202644,0.012425497455860962,1.4426796139445486,573.6270429769763,1920880.7698170005,0.2230141755322908,5.7601903213638375,7.425840021185766,0.01,1.1577663902821622,1.3125931080068198,1.0652182189934514
2,0.005436081072389896,108657.76910162545,3.128140909632659,99.70427911032527,107.35284428035057,99.58200083507651,14.555809807660063,9965.16143779462,1834.4216604041383,3419.4316071186936,0.08740277285253403,0.13128462234329513,68.63266882342865,0.01,1.1826381994486128,4031.758771773915,360.0,14.37699682180445,1357.2498091282714,41.354157920836194,1419500.7750206543,5.013235248141742,0.010038610032695594,89.83265753571463,761.527759361855,7.393938354673456,3406317.539874168,4.3639497624017585,6.503024113481575,0.014019566979620335,100.0,0.44671834921007947,360.0,0.2995471919491658,0.003663086368701349,7.0790569368436715,6981.495393360023,592104.9578521268,21.371414845892378,0.9546508764434933,7211.881786786783,2.2378781911357377,0.29590006983919054,3.5933586884743707,253.20211686098878,840475.1269534457,99.31050146971374,0.0507127640841255,2.500048008609287,0.09397216432978846,93.21069580280881,2046.592392097196,1.136399403275238
3,0.006553544301817662,50170.20435892634,4.853261293846747,1.2421175152095156,294.7718491718067,1.848040117159425,0.53681332328095,18.249301138435868,4401.228299122439,4060.58985284005,0.09252021351227917,0.08755532830205326,78.66407650027128,0.01,0.16464428460262062,9990.768881808099,343764.4606387771,0.06940219347215419,9984.339232192113,0.0,1547792.0320275952,67.38655963826295,1.2724572058549182,0.12712556434207248,0.0037236289532912633,218.0685606671529,438518.2842489951,4.288181648356549,50.113082316989995,0.011099820005706803,47.76685262689099,1437.8323405954839,774.2604946210243,96.31350997373484,0.003257770458209242,45.675143269901504,462.7176712692299,584551.449209822,2.2749877229066238,0.5643616754354357,6757.361869931481,1.68255449348381,0.010225763770301441,26.394266367070703,3057.4990931172756,2207129.2008245867,1.7468667813963301,22.211613544036442,2.5000438154116993,0.2020047513029501,76.3541010076779,29.418921357784598,1.1210386787196924
4,0.006158588987618464,30702.537781541858,7.12883389038887,30.585428666271607,243.09920212015138,24.295306363203004,2.232020742372269,1297.7958986321703,2614.0290851201203,4060.5266799227497,0.09740097229244726,0.086,44.07053190118715,1.0483380665275428,28.572831961331772,116.84862703640394,3453039.325465613,0.05014079073560668,0.01497269826281227,1.7994224371825789,1781676.7926014424,0.014326425901176673,3.795674133162557,27.676638247289887,0.002826624161309119,316.6110451306799,1604515.662189064,0.6666825446807757,0.08209267504493271,0.016109010402017305,2.9770277411846298,0.22930444179794796,53972.95809515716,99.51659861737554,0.0033547994090978093,0.09606657487730498,4562.747587953379,110850.1925300266,24.58759190095557,1.4440566763738376,9646.87762423296,20.41776508172876,0.9145748812305323,12.634971971860335,9699.26636471263,1890740.7526440572,76.40208040248905,2.280023470674466,2.5251067042012836,0.6446654747124213,79.20623599579497,7013.328349313027,1.1854538024263979
5,0.0062418728331761165,3521400.0658061034,23.411260253856607,0.500891654233784,112.12256070605358,0.01,22.6981295314904,15.390236725711315,2215.164176818082,4060.047907500798,0.03723515415882549,0.11405316442860303,36.69880360264214,47.55444290391548,10.182737577290284,2683.2229836178976,1803.6741173674989,1.2774253320647102,0.01,724.7886010949912,862701.6478586484,77.27759809694136,13.566053471207033,27.956486088009076,0.0040893558738477696,2006.6313989510395,3263174.5268147844,20.521490979230645,0.010029598735182286,0.011477148125390736,18.012610962456062,6720.499119035878,3647.8128418700144,13.7606042472829,0.004003475750154594,8.402116833959136,3582.355125875964,1920111.3927736531,18.120581213801284,23.122331382567022,17920.24532140961,96.48023821007689,87.45238667749328,1.453874825581426,1066.6400828318854,403039.4267290688,0.1703125193826881,2.512363604031153,2.500001000895847,0.010000003908625975,40.48353816724412,5126.505415156618,1.0579807422813068
6,0.006443545850154932,186282.36672553374,11.381242504670723,10.414667869364045,306.668468076511,50.98574001217547,2.099738564369997,18.611590757399394,1222.5611965695875,3861.3841116447184,0.03953771637315338,0.12441867830306799,89.97223145493243,0.010032215248419345,0.9983959527408706,9744.258653390378,361.34613823992834,49.8007945722921,80.9352917709961,5.761222062244931,336125.3621754668,22.39809007397989,99.99990510649795,99.88693712663758,0.004202439769677993,6.256607077938954,1220661.3843450204,45.69200813921441,100.0,0.014319520368482901,96.20639063415675,0.06756459722587572,22779.99694839597,22.610716492342075,0.00351804694006696,0.8552477970493438,1396.3037869374004,983822.230974669,90.2619468248282,8.003093045267756,14781.261621530164,12.067380672425141,99.4212602129619,0.9742377963984781,9846.38839023009,631241.2063086574,2.5582566473263855,3.9249253900873633,2.500532248186356,0.13109500352484643,99.57293942755973,7250.307500807498,1.0646752040210288
7,0.007009239577557438,86279.76308982198,5.578287653025918,28.124091479497384,315.0,61.34879933114203,0.01000053317607484,7.853987088308199,669.0574576457152,4039.7822963594645,0.09686532902070298,0.08929897652545875,89.54886242305642,3.7799213018857536,3.093423549047637,5082.147655446832,105678.96239223311,90.92408576189622,1200.3296935755475,810.9306211367388,1295902.178295602,37.80133464423219,0.898774743676072,0.026843248564652287,0.005231195892281401,10000.0,3600000.0,9.993195339301405,0.010495690235290102,0.011419241559222049,49.107191460129776,93.34704921118039,627714.3140503262,0.01,0.0028474848152049495,0.06512893131230486,0.01,84961.08832348573,28.17505535935997,0.5919248522588415,17999.84194053379,21.761453558364384,55.638489544891804,4.532667748661984,1500.409074672457,847292.155723991,7.666067214257151,2.282739269487949,2.50048583600861,0.6418348595035964,9.750209309717556,5.0399989800798854,1.0743064339212023
8,0.007204005497947912,2000575.9826012435,0.9669559282325473,10.643741463268492,136.77358968805663,3.795656353125392,3.66589432231261,9975.524697627623,0.01,3658.4541987267094,0.09620029148526024,0.0860014954169716,30.0,29.20280532105525,0.01006558142990258,642.2288275452225,45200.41050110637,38.253982628239406,0.010000245600440067,970.7202937050116,1287685.5724325047,4.9477583647101655,26.969610830951225,13.747784639234672,0.004800428277587064,9982.098219971442,416325.49629593524,25.55924160362274,33.643533816422455,0.2545060095838281,0.17118029294867262,0.9703869969220397,38294.6550556133,6.088844740339412,0.002879271622054092,12.729607419212659,1669.582344485759,2731592.328637712,41.5170541117024,27.73517452662904,6217.328348023178,5.258828641258162,6.21522321111933,8.29554551913578,237.85133084282003,3599840.158369612,98.2672968148256,3.9268976120003005,2.5000000006876397,4.023873163920366,78.06634549187848,3.574993382599345,1.1766283213938742
9,0.0061361153769547185,3596437.874088976,9.391148965295011,38.15837835485228,105.00781602583004,1.1447273250506658,4.093545212925811,3952.5865356274035,40.88652960789803,4057.3660962029717,0.0907984652371118,0.08600461560817967,68.6460308044845,0.01,99.99995399129021,9816.778429611228,360.00059998198697,99.99998607897098,0.010061853484062584,999.9341555891696,2712006.5269394033,23.370010438453175,24.673522777655553,0.9587183372265653,0.004613869380085793,47.89333275923304,1361863.738006928,0.9443389333614123,34.420225591853885,0.011672316184268434,83.40149494561135,9983.011432909612,787165.5592845955,0.948823216154684,0.0028953944953108222,0.01823970144896885,0.011052501347942258,2071876.2112680133,47.394960602986785,4.117176906714469,17962.661418629184,0.40371722048021297,72.75734931838093,9997.924750678914,468.52363233942566,2221036.979631434,0.08733516568765937,37.27291253492708,2.5,71.8383221203316,46.975596374040315,0.32859269040975847,1.1822373310967569
