Time	[P]	[S]	[X]	[P]_0	[S]_0	[X]_0
0.0	0.0	10.0	0.0	0.0	10.0	0.0
2.0	0.9754758619945527	3.2749516333286293	2.874786252338411			
4.0	1.4122150084689515	2.270295744992184	3.1587446232694356			
6.0	1.6337469394208606	1.9637886763997199	3.2012321920897135			
8.0	1.7286571277237155	1.8561539807633765	3.2075944457564582			
10.0	1.766812119573344	1.8160976927432986	3.208545093841683			
12.0	1.7817855074830145	1.8008395146702498	3.208687488923371			
14.0	1.7876068618527567	1.7949734172643583	3.2087098604414455			
16.0	1.7898650339266473	1.7927116836385046	3.2087116412174272			
18.0	1.7907373882319602	1.791838531833146	3.20871203996745			
20.0	1.7910751235644558	1.7914992583133529	3.208712809061099			
