,(r1).k_MAforward,(r1).k_MAreverse,(r1).ki_X,(r4).k_MAforward,(r4).k_MAreverse,obj
0,0.69588250640029,0.7010931864242742,1.9303173309893662,1.3013486058475523,1.3036191964198305,0.0019245321984391914
1,0.7111936158209089,0.7166835523915914,1.850873257093811,1.414626948921237,1.4166657865577164,0.0020019459446607773
2,0.6485677205108064,0.6517928586292937,2.15332821060964,0.9054412617237373,0.9014078174204186,0.0019764486360321944
3,0.6834064720530683,0.6864874445223007,1.9766971154722253,1.16349596494041,1.159113920197136,0.0017534025491666764
4,0.7921573552622527,0.7990790207789522,1.540064844937081,1.7840701742733305,1.7927497559357635,0.0021700967276580023
5,1.2125754994601237,1.2189470811561194,0.7859703257180575,1.6060041709649557,1.615544180145281,0.0008886641722278281
6,1.1835180967607133,1.1820883968971758,0.7824886096558146,1.0406190519833212,1.0422031738605362,0.00014562597003543937
7,0.7645580567542488,0.7704649740364894,1.6179021797088697,1.3525072557232913,1.3537590062589153,0.0013764195840632488
8,0.7050199410084877,0.7099943616014105,1.8681957596183651,1.278884733126762,1.2825238357610074,0.0017414585345190642
9,0.7594912099470685,0.7587481730094089,1.5524956951885471,0.8325853234208972,0.8272823011123869,0.0008828860840297206
10,0.7240763619467325,0.7288997734058368,1.7731997016963914,1.3340297138081392,1.3359473461585702,0.0016456620197115221
11,0.7580204556346952,0.763082137407239,1.621889457220513,1.2531878015093512,1.2544293426091377,0.0011392319899550466
12,0.7110292429411791,0.7118742073381401,1.7881199967349408,0.9653395056130882,0.9636910478889258,0.0011357768365457886
13,0.7591707969019086,0.7630546996783641,1.6171062565715324,1.3184204127519155,1.3205149596989239,0.0012998959414760908
14,0.7717700365723716,0.7760406753602751,1.564639247798241,1.17016967003912,1.1703516246073487,0.0008461729909263382
15,1.175921392695563,1.1763806540594557,0.8007487078491321,1.17834456599231,1.18021883009796,0.00021782172699827144
16,1.256616978491413,1.2618559597038812,0.7493193730398583,1.7140872421141753,1.7248144267032377,0.0010466052031175331
17,0.7156681592089351,0.7211147957872994,1.8069993300749814,1.3302968856282549,1.3342020434501671,0.0017439257956942565
18,1.0867681648207212,1.0939773996921835,0.9348680973123964,2.0550421253288107,2.0691888617674965,0.0016515393850168867
19,0.6724421461497373,0.6782571459027764,2.04918782957327,1.2557120542166849,1.2563269026562665,0.0020766570011605577
20,0.7440326790034514,0.7461139251616097,1.6461787934552654,1.0184148211389954,1.0156592766572023,0.0007973580962754201
21,1.817133057113682,1.8030333584333094,0.4275745476012486,0.8383254917408586,0.8396410946936758,0.0022749977215338942
22,0.6613666362513545,0.6650580208963052,2.1060340138970313,1.1670227614094457,1.164542601706132,0.0020274654574644357
23,1.8326160566264789,1.8297390396380162,0.4481174416652038,1.3093144586601315,1.315598220460933,0.0011807214238687763
24,0.9016878116810481,0.9020648067836351,1.1768579581113363,0.9995774073055385,0.998978141769852,8.033227019279497e-05
25,0.7304792942818281,0.735866613193632,1.7611594793013974,1.4796043096263967,1.4814228846990856,0.001969958930098601
26,0.7856174845270397,0.790587951899869,1.5312517961610954,1.4053469594080699,1.4095494964156814,0.0013149660866573465
27,0.8434249517803281,0.8460889438307634,1.3248619068024405,1.0549201019386814,1.0549164030444738,0.0002749672731981327
28,0.6970293347297464,0.6991942466100118,1.841759382616519,0.887641851548879,0.8843717239314803,0.0012808000476837173
29,0.7144449819814954,0.7208079867498702,1.838715163525049,1.470750271714632,1.476334989567951,0.00212223968950198
30,1.052903782081535,1.0580009468937148,0.963293237783585,1.5907083858233935,1.5986297721251685,0.000893309944632378
31,1.1018777215779418,1.1008353500471244,0.8626345605044302,0.9816876816714153,0.9820568447067018,6.613755204621276e-05
32,0.9817055070814485,0.9864717901602726,1.0802765835612391,1.9659421697674058,1.9754819717206367,0.001691971342415256
33,0.6997276210194907,0.7010870266741301,1.8149841347816806,0.859678342816962,0.8557199708907066,0.001319087446870297
34,0.8652129179641354,0.8720759053163032,1.3245386543525808,1.5880237396920724,1.5946008461138201,0.0014132685481566948
35,0.7607487092341801,0.7667678352672666,1.629193208208815,1.447591807933414,1.4526926164425882,0.0016092615228484853
36,0.7209714578434111,0.7264488626336024,1.7915466739076353,1.3158739314498118,1.317251788319581,0.0016337523795320965
37,1.3449990800236693,1.3455371361334068,0.6705347519927841,1.3356822549338834,1.341215051243037,0.0005594751622949673
38,0.7687768179108823,0.7753488896130386,1.6014155862084762,1.318520740953995,1.3231426275133618,0.0012866572099640306
39,0.7099790587853312,0.7121703266574235,1.7870765208236539,0.9545174162076966,0.9523938412484334,0.00107883224423412
40,1.3284688420755677,1.3359322324686362,0.70748656339464,2.3973346314037514,2.413633756957853,0.0019305651947082972
41,0.7431488962735938,0.7491799012977831,1.7005050573471845,1.418946455861938,1.4232321691298155,0.0016873920598983489
42,0.8199706155418224,0.8226376036352733,1.4179616580926693,1.4432805399462878,1.4460939480287454,0.0012389572920037059
43,0.694281095105394,0.6997927031746266,1.9350340815350568,1.3437183777028088,1.346917809552542,0.0020256581867452604
44,1.7195186551809534,1.7184519859227598,0.48740970230991265,1.3760158970030962,1.3832619570178974,0.0010576311429724167
45,0.7013662756503509,0.7061233864317514,1.874192677084152,1.2040816538331474,1.2048323152549485,0.0015603055262999996
46,0.9908362190128401,0.9926259453468823,1.0264299154093994,1.1361986294587547,1.138518723315669,0.0001103252411749234
