,(r1).k_MAforward,(r1).k_MAreverse,obj
0,0.15193542087266762,0.38640026476278694,93.17859086444993
1,0.1519356310447156,0.38640081788099206,93.17859086445443
2,0.15193537060284731,0.3863999811092679,93.1785908644562
3,0.15193565387893745,0.38640087656988015,93.17859086445063
4,0.15193530009388623,0.3863998541687001,93.17859086445357
5,0.1519354495320027,0.38640026932795796,93.17859086445256
6,0.15193561556066615,0.3864005732250651,93.17859086445668
7,0.15193532347937372,0.38639975614226024,93.17859086445276
8,0.15193531343795202,0.3863998500274179,93.1785908644507
9,0.151935612777463,0.3864007849196916,93.17859086445668
10,0.1519354266575781,0.3863999637776317,93.1785908644562
11,0.15193548717262578,0.38640033524723705,93.17859086445583
12,0.1519356281392741,0.3864006938639816,93.17859086444918
13,0.15193541067175398,0.38640005616918127,93.1785908644522
14,0.15193550770877515,0.3864003497454002,93.17859086445341
15,0.15193544200421663,0.38640030427093786,93.17859086445452
16,0.1519354975434456,0.38640031522529783,93.1785908644544
17,0.15193544693529817,0.3864002067778868,93.17859086445637
18,0.15193553129884563,0.3864004245194887,93.17859086444858
19,0.15193575401328002,0.3864009929264527,93.17859086445434
20,0.15193558232594287,0.3864005057797103,93.17859086445421
21,0.15193548567954346,0.38640035216587676,93.17859086444646
22,0.1519354171309357,0.3863999257186459,93.17859086445138
23,0.15193546420809553,0.3864002296819204,93.17859086445374
24,0.15193562082213125,0.3864007120060801,93.17859086444803
25,0.15193538504967175,0.38640002141895635,93.17859086445554
26,0.15193560738757203,0.3864006668721632,93.17859086445347
27,0.15193549817448943,0.3864002449664593,93.17859086445445
28,0.1519356101428953,0.3864006799008235,93.17859086445071
29,0.1519355879382857,0.3864005881595429,93.17859086445635
30,0.1519356555316702,0.38640074751559195,93.17859086445412
31,0.15193541895218332,0.38640000038666333,93.17859086445524
32,0.15193561357049606,0.3864007189049201,93.17859086445567
33,0.15193524823972304,0.38639964220861933,93.17859086445367
34,0.15193551840000874,0.3864005044171149,93.17859086445368
35,0.15193546587480697,0.38640040792880415,93.17859086445135
36,0.15193561012638096,0.3864006037706635,93.17859086445664
37,0.1519355939297842,0.3864006331544234,93.17859086445651
38,0.1519356326107952,0.3864007737953555,93.17859086445304
39,0.15193558841415447,0.386400649396008,93.1785908644502
40,0.15193565331985226,0.38640079557558105,93.17859086445053
41,0.15193556854430726,0.3864005315359217,93.17859086445065
42,0.1519356636707749,0.38640085106764543,93.17859086444511
43,0.1519358180722044,0.3864012168461176,93.1785908644546
44,0.15193555822023633,0.38640040691402583,93.17859086445301
45,0.1519356361541071,0.38640073961845706,93.17859086445215
46,0.151935622892958,0.3864005550833022,93.17859086444915
47,0.15193553480956445,0.3864004732474591,93.17859086445625
48,0.1519354818636341,0.38640024967930486,93.17859086445512
49,0.1519356628664472,0.38640085495023035,93.17859086445137
50,0.15193535199455685,0.38639995526571447,93.17859086444736
51,0.15193540003079464,0.3864001239371479,93.17859086445584
52,0.15193542101726937,0.38640012894469805,93.17859086445459
53,0.15193549909969503,0.3864003349006114,93.17859086445623
54,0.15193574778725857,0.38640106040526384,93.1785908644541
55,0.15193541819099346,0.38640001037873994,93.17859086445547
56,0.1519354478411458,0.386400332193012,93.17859086445351
57,0.15193545449020288,0.3864003275147748,93.17859086445645
58,0.1519355274679051,0.3864003845282107,93.17859086445537
59,0.15193570314771787,0.38640099721350846,93.1785908644566
60,0.1519356572867326,0.386400770603968,93.17859086444896
61,0.15193546382464726,0.3864002542873787,93.17859086445353
62,0.15193561556980711,0.38640051525949365,93.17859086445493
63,0.1519356419929922,0.3864008628926329,93.17859086445314
64,0.1519355073972423,0.3864004159756998,93.17859086445024
65,0.15193556666877128,0.38640039229185935,93.17859086445395
66,0.15193556476137737,0.3864005763826168,93.17859086445333
67,0.15193528664549055,0.38639969834367016,93.17859086445394
68,0.15193548385011452,0.3864002495674804,93.17859086445242
69,0.1519353433911454,0.386399933578264,93.17859086445624
70,0.1519355134306001,0.386400569041599,93.17859086445418
71,0.15193555977782625,0.38640047965373087,93.17859086445614
72,0.15193562343279,0.38640078400600064,93.17859086445561
73,0.1519354730385005,0.386400355144588,93.17859086444952
74,0.15193545282593748,0.38640025240527454,93.1785908644534
75,0.15193547014389594,0.386400336204704,93.17859086444965
76,0.151935478861616,0.38640024070117146,93.17859086445515
77,0.1519354273561789,0.38640012992971406,93.17859086445222
78,0.1519354180471333,0.38640006030728946,93.1785908644454
79,0.1519355437706425,0.3864005101870312,93.17859086445267
80,0.15193544185258984,0.38640017791941234,93.17859086444759
81,0.1519355325067151,0.3864002889450636,93.17859086445493
82,0.15193560373392143,0.3864006877471366,93.17859086445578
83,0.15193561672735587,0.38640062232166633,93.17859086445458
84,0.15193573819827938,0.3864010645560869,93.17859086445428
85,0.15193549406380347,0.38640031725777635,93.17859086445198
86,0.15193554127222406,0.38640050776879004,93.17859086444939
87,0.1519354632324385,0.3864002428669554,93.17859086445405
88,0.15193570367852527,0.386400877489008,93.17859086445512
